Quarter,Garda Division,Type of Offence,VALUE
2005Q1,Roscommon-Longford Garda Division,Theft and related offences,214.0
2005Q1,Roscommon-Longford Garda Division,Weapons and explosives offences,6.0
2005Q2,Roscommon-Longford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",44.0
2005Q2,Roscommon-Longford Garda Division,Burglary and related offences,71.0
2005Q2,Roscommon-Longford Garda Division,Controlled drug offences,18.0
2005Q2,Roscommon-Longford Garda Division,Damage to property and to the environment  offences,97.0
2005Q2,Roscommon-Longford Garda Division,Dangerous or negligent acts,192.0
2005Q2,Roscommon-Longford Garda Division,"Fraud, deception and related offences",9.0
2005Q2,Roscommon-Longford Garda Division,Homicide & related offences,2.0
2005Q2,Roscommon-Longford Garda Division,Kidnapping and related offences,0.0
2005Q2,Roscommon-Longford Garda Division,"Offences against government, justice procedures and organisation of crime",6.0
2005Q2,Roscommon-Longford Garda Division,Offences not elsewhere classified,14.0
2005Q2,Roscommon-Longford Garda Division,Public order and other social code offences,151.0
2005Q2,Roscommon-Longford Garda Division,Road and traffic offences,242.0
2005Q2,Roscommon-Longford Garda Division,"Robbery, extortion and hijacking offences",1.0
2005Q2,Roscommon-Longford Garda Division,Sexual offences,4.0
2005Q2,Roscommon-Longford Garda Division,Theft and related offences,202.0
2005Q2,Roscommon-Longford Garda Division,Weapons and explosives offences,7.0
2005Q3,Roscommon-Longford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",75.0
2005Q3,Roscommon-Longford Garda Division,Burglary and related offences,91.0
2005Q3,Roscommon-Longford Garda Division,Controlled drug offences,31.0
2005Q3,Roscommon-Longford Garda Division,Damage to property and to the environment  offences,77.0
2005Q3,Roscommon-Longford Garda Division,Dangerous or negligent acts,203.0
2005Q3,Roscommon-Longford Garda Division,"Fraud, deception and related offences",13.0
2005Q3,Roscommon-Longford Garda Division,Homicide & related offences,0.0
2005Q3,Roscommon-Longford Garda Division,Kidnapping and related offences,0.0
2005Q3,Roscommon-Longford Garda Division,"Offences against government, justice procedures and organisation of crime",13.0
2005Q3,Roscommon-Longford Garda Division,Offences not elsewhere classified,8.0
2005Q3,Roscommon-Longford Garda Division,Public order and other social code offences,199.0
2005Q3,Roscommon-Longford Garda Division,Road and traffic offences,236.0
2005Q3,Roscommon-Longford Garda Division,"Robbery, extortion and hijacking offences",3.0
2005Q3,Roscommon-Longford Garda Division,Sexual offences,6.0
2005Q3,Roscommon-Longford Garda Division,Theft and related offences,202.0
2005Q3,Roscommon-Longford Garda Division,Weapons and explosives offences,6.0
2005Q4,Roscommon-Longford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",61.0
2005Q4,Roscommon-Longford Garda Division,Burglary and related offences,97.0
2005Q4,Roscommon-Longford Garda Division,Controlled drug offences,31.0
2005Q4,Roscommon-Longford Garda Division,Damage to property and to the environment  offences,104.0
2005Q4,Roscommon-Longford Garda Division,Dangerous or negligent acts,209.0
2005Q4,Roscommon-Longford Garda Division,"Fraud, deception and related offences",8.0
2005Q4,Roscommon-Longford Garda Division,Homicide & related offences,0.0
2005Q4,Roscommon-Longford Garda Division,Kidnapping and related offences,0.0
2005Q4,Roscommon-Longford Garda Division,"Offences against government, justice procedures and organisation of crime",18.0
2005Q4,Roscommon-Longford Garda Division,Offences not elsewhere classified,3.0
2005Q4,Roscommon-Longford Garda Division,Public order and other social code offences,212.0
2005Q4,Roscommon-Longford Garda Division,Road and traffic offences,279.0
2005Q4,Roscommon-Longford Garda Division,"Robbery, extortion and hijacking offences",4.0
2005Q4,Roscommon-Longford Garda Division,Sexual offences,2.0
2005Q4,Roscommon-Longford Garda Division,Theft and related offences,173.0
2005Q4,Roscommon-Longford Garda Division,Weapons and explosives offences,7.0
2006Q1,Roscommon-Longford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",61.0
2006Q1,Roscommon-Longford Garda Division,Burglary and related offences,141.0
2006Q1,Roscommon-Longford Garda Division,Controlled drug offences,30.0
2006Q1,Roscommon-Longford Garda Division,Damage to property and to the environment  offences,76.0
2006Q1,Roscommon-Longford Garda Division,Dangerous or negligent acts,336.0
2006Q1,Roscommon-Longford Garda Division,"Fraud, deception and related offences",19.0
2006Q1,Roscommon-Longford Garda Division,Homicide & related offences,0.0
2006Q1,Roscommon-Longford Garda Division,Kidnapping and related offences,0.0
2006Q1,Roscommon-Longford Garda Division,"Offences against government, justice procedures and organisation of crime",34.0
2006Q1,Roscommon-Longford Garda Division,Offences not elsewhere classified,12.0
2006Q1,Roscommon-Longford Garda Division,Public order and other social code offences,170.0
2006Q1,Roscommon-Longford Garda Division,Road and traffic offences,276.0
2006Q1,Roscommon-Longford Garda Division,"Robbery, extortion and hijacking offences",1.0
2006Q1,Roscommon-Longford Garda Division,Sexual offences,7.0
2006Q1,Roscommon-Longford Garda Division,Theft and related offences,211.0
2006Q1,Roscommon-Longford Garda Division,Weapons and explosives offences,4.0
2006Q2,Roscommon-Longford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",70.0
2006Q2,Roscommon-Longford Garda Division,Burglary and related offences,58.0
2006Q2,Roscommon-Longford Garda Division,Controlled drug offences,21.0
2006Q2,Roscommon-Longford Garda Division,Damage to property and to the environment  offences,127.0
2006Q2,Roscommon-Longford Garda Division,Dangerous or negligent acts,418.0
2006Q2,Roscommon-Longford Garda Division,"Fraud, deception and related offences",32.0
2006Q2,Roscommon-Longford Garda Division,Homicide & related offences,1.0
2006Q2,Roscommon-Longford Garda Division,Kidnapping and related offences,0.0
2006Q2,Roscommon-Longford Garda Division,"Offences against government, justice procedures and organisation of crime",24.0
2006Q2,Roscommon-Longford Garda Division,Offences not elsewhere classified,8.0
2006Q2,Roscommon-Longford Garda Division,Public order and other social code offences,171.0
2006Q2,Roscommon-Longford Garda Division,Road and traffic offences,770.0
2006Q2,Roscommon-Longford Garda Division,"Robbery, extortion and hijacking offences",6.0
2006Q2,Roscommon-Longford Garda Division,Sexual offences,5.0
2006Q2,Roscommon-Longford Garda Division,Theft and related offences,219.0
2006Q2,Roscommon-Longford Garda Division,Weapons and explosives offences,9.0
2006Q3,Roscommon-Longford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",77.0
2006Q3,Roscommon-Longford Garda Division,Burglary and related offences,82.0
2006Q3,Roscommon-Longford Garda Division,Controlled drug offences,64.0
2006Q3,Roscommon-Longford Garda Division,Damage to property and to the environment  offences,129.0
2006Q3,Roscommon-Longford Garda Division,Dangerous or negligent acts,390.0
2006Q3,Roscommon-Longford Garda Division,"Fraud, deception and related offences",11.0
2006Q3,Roscommon-Longford Garda Division,Homicide & related offences,0.0
2006Q3,Roscommon-Longford Garda Division,Kidnapping and related offences,0.0
2006Q3,Roscommon-Longford Garda Division,"Offences against government, justice procedures and organisation of crime",20.0
2006Q3,Roscommon-Longford Garda Division,Offences not elsewhere classified,9.0
2006Q3,Roscommon-Longford Garda Division,Public order and other social code offences,206.0
2006Q3,Roscommon-Longford Garda Division,Road and traffic offences,601.0
2006Q3,Roscommon-Longford Garda Division,"Robbery, extortion and hijacking offences",0.0
2006Q3,Roscommon-Longford Garda Division,Sexual offences,7.0
2006Q3,Roscommon-Longford Garda Division,Theft and related offences,272.0
2006Q3,Roscommon-Longford Garda Division,Weapons and explosives offences,9.0
2006Q4,Roscommon-Longford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",105.0
2006Q4,Roscommon-Longford Garda Division,Burglary and related offences,117.0
2006Q4,Roscommon-Longford Garda Division,Controlled drug offences,30.0
2006Q4,Roscommon-Longford Garda Division,Damage to property and to the environment  offences,205.0
2006Q4,Roscommon-Longford Garda Division,Dangerous or negligent acts,325.0
2006Q4,Roscommon-Longford Garda Division,"Fraud, deception and related offences",22.0
2006Q4,Roscommon-Longford Garda Division,Homicide & related offences,1.0
2006Q4,Roscommon-Longford Garda Division,Kidnapping and related offences,0.0
2006Q4,Roscommon-Longford Garda Division,"Offences against government, justice procedures and organisation of crime",18.0
2006Q4,Roscommon-Longford Garda Division,Offences not elsewhere classified,12.0
2006Q4,Roscommon-Longford Garda Division,Public order and other social code offences,222.0
2006Q4,Roscommon-Longford Garda Division,Road and traffic offences,593.0
2006Q4,Roscommon-Longford Garda Division,"Robbery, extortion and hijacking offences",6.0
2006Q4,Roscommon-Longford Garda Division,Sexual offences,6.0
2006Q4,Roscommon-Longford Garda Division,Theft and related offences,232.0
2006Q4,Roscommon-Longford Garda Division,Weapons and explosives offences,17.0
2007Q1,Roscommon-Longford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",110.0
2007Q1,Roscommon-Longford Garda Division,Burglary and related offences,93.0
2007Q1,Roscommon-Longford Garda Division,Controlled drug offences,39.0
2007Q1,Roscommon-Longford Garda Division,Damage to property and to the environment  offences,105.0
2007Q1,Roscommon-Longford Garda Division,Dangerous or negligent acts,337.0
2007Q1,Roscommon-Longford Garda Division,"Fraud, deception and related offences",41.0
2007Q1,Roscommon-Longford Garda Division,Homicide & related offences,0.0
2007Q1,Roscommon-Longford Garda Division,Kidnapping and related offences,0.0
2007Q1,Roscommon-Longford Garda Division,"Offences against government, justice procedures and organisation of crime",23.0
2007Q1,Roscommon-Longford Garda Division,Offences not elsewhere classified,15.0
2007Q1,Roscommon-Longford Garda Division,Public order and other social code offences,135.0
2007Q1,Roscommon-Longford Garda Division,Road and traffic offences,510.0
2007Q1,Roscommon-Longford Garda Division,"Robbery, extortion and hijacking offences",5.0
2007Q1,Roscommon-Longford Garda Division,Sexual offences,13.0
2007Q1,Roscommon-Longford Garda Division,Theft and related offences,200.0
2007Q1,Roscommon-Longford Garda Division,Weapons and explosives offences,11.0
2007Q2,Roscommon-Longford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",121.0
2007Q2,Roscommon-Longford Garda Division,Burglary and related offences,99.0
2007Q2,Roscommon-Longford Garda Division,Controlled drug offences,62.0
2007Q2,Roscommon-Longford Garda Division,Damage to property and to the environment  offences,142.0
2007Q2,Roscommon-Longford Garda Division,Dangerous or negligent acts,446.0
2007Q2,Roscommon-Longford Garda Division,"Fraud, deception and related offences",28.0
2007Q2,Roscommon-Longford Garda Division,Homicide & related offences,2.0
2007Q2,Roscommon-Longford Garda Division,Kidnapping and related offences,0.0
2007Q2,Roscommon-Longford Garda Division,"Offences against government, justice procedures and organisation of crime",31.0
2007Q2,Roscommon-Longford Garda Division,Offences not elsewhere classified,12.0
2007Q2,Roscommon-Longford Garda Division,Public order and other social code offences,234.0
2007Q2,Roscommon-Longford Garda Division,Road and traffic offences,651.0
2007Q2,Roscommon-Longford Garda Division,"Robbery, extortion and hijacking offences",4.0
2007Q2,Roscommon-Longford Garda Division,Sexual offences,6.0
2007Q2,Roscommon-Longford Garda Division,Theft and related offences,229.0
2007Q2,Roscommon-Longford Garda Division,Weapons and explosives offences,12.0
2007Q3,Roscommon-Longford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",77.0
2007Q3,Roscommon-Longford Garda Division,Burglary and related offences,104.0
2007Q3,Roscommon-Longford Garda Division,Controlled drug offences,73.0
2007Q3,Roscommon-Longford Garda Division,Damage to property and to the environment  offences,149.0
2007Q3,Roscommon-Longford Garda Division,Dangerous or negligent acts,422.0
2007Q3,Roscommon-Longford Garda Division,"Fraud, deception and related offences",29.0
2007Q3,Roscommon-Longford Garda Division,Homicide & related offences,3.0
2007Q3,Roscommon-Longford Garda Division,Kidnapping and related offences,0.0
2007Q3,Roscommon-Longford Garda Division,"Offences against government, justice procedures and organisation of crime",17.0
2007Q3,Roscommon-Longford Garda Division,Offences not elsewhere classified,21.0
2007Q3,Roscommon-Longford Garda Division,Public order and other social code offences,200.0
2007Q3,Roscommon-Longford Garda Division,Road and traffic offences,711.0
2007Q3,Roscommon-Longford Garda Division,"Robbery, extortion and hijacking offences",3.0
2007Q3,Roscommon-Longford Garda Division,Sexual offences,7.0
2007Q3,Roscommon-Longford Garda Division,Theft and related offences,264.0
2007Q3,Roscommon-Longford Garda Division,Weapons and explosives offences,11.0
2007Q4,Roscommon-Longford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",105.0
2007Q4,Roscommon-Longford Garda Division,Burglary and related offences,121.0
2007Q4,Roscommon-Longford Garda Division,Controlled drug offences,52.0
2007Q4,Roscommon-Longford Garda Division,Damage to property and to the environment  offences,142.0
2007Q4,Roscommon-Longford Garda Division,Dangerous or negligent acts,269.0
2007Q4,Roscommon-Longford Garda Division,"Fraud, deception and related offences",34.0
2007Q4,Roscommon-Longford Garda Division,Homicide & related offences,3.0
2007Q4,Roscommon-Longford Garda Division,Kidnapping and related offences,1.0
2007Q4,Roscommon-Longford Garda Division,"Offences against government, justice procedures and organisation of crime",24.0
2007Q4,Roscommon-Longford Garda Division,Offences not elsewhere classified,11.0
