Quarter,Garda Division,Type of Offence,VALUE
2005Q3,Laois-Offaly Garda Division,Homicide & related offences,0.0
2005Q3,Laois-Offaly Garda Division,Kidnapping and related offences,0.0
2005Q3,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",36.0
2005Q3,Laois-Offaly Garda Division,Offences not elsewhere classified,11.0
2005Q3,Laois-Offaly Garda Division,Public order and other social code offences,437.0
2005Q3,Laois-Offaly Garda Division,Road and traffic offences,373.0
2005Q3,Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",7.0
2005Q3,Laois-Offaly Garda Division,Sexual offences,8.0
2005Q3,Laois-Offaly Garda Division,Theft and related offences,427.0
2005Q3,Laois-Offaly Garda Division,Weapons and explosives offences,10.0
2005Q4,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",112.0
2005Q4,Laois-Offaly Garda Division,Burglary and related offences,246.0
2005Q4,Laois-Offaly Garda Division,Controlled drug offences,92.0
2005Q4,Laois-Offaly Garda Division,Damage to property and to the environment  offences,260.0
2005Q4,Laois-Offaly Garda Division,Dangerous or negligent acts,313.0
2005Q4,Laois-Offaly Garda Division,"Fraud, deception and related offences",31.0
2005Q4,Laois-Offaly Garda Division,Homicide & related offences,0.0
2005Q4,Laois-Offaly Garda Division,Kidnapping and related offences,0.0
2005Q4,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",35.0
2005Q4,Laois-Offaly Garda Division,Offences not elsewhere classified,16.0
2005Q4,Laois-Offaly Garda Division,Public order and other social code offences,379.0
2005Q4,Laois-Offaly Garda Division,Road and traffic offences,301.0
2005Q4,Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",11.0
2005Q4,Laois-Offaly Garda Division,Sexual offences,10.0
2005Q4,Laois-Offaly Garda Division,Theft and related offences,388.0
2005Q4,Laois-Offaly Garda Division,Weapons and explosives offences,12.0
2006Q1,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",129.0
2006Q1,Laois-Offaly Garda Division,Burglary and related offences,208.0
2006Q1,Laois-Offaly Garda Division,Controlled drug offences,122.0
2006Q1,Laois-Offaly Garda Division,Damage to property and to the environment  offences,213.0
2006Q1,Laois-Offaly Garda Division,Dangerous or negligent acts,422.0
2006Q1,Laois-Offaly Garda Division,"Fraud, deception and related offences",40.0
2006Q1,Laois-Offaly Garda Division,Homicide & related offences,0.0
2006Q1,Laois-Offaly Garda Division,Kidnapping and related offences,1.0
2006Q1,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",60.0
2006Q1,Laois-Offaly Garda Division,Offences not elsewhere classified,15.0
2006Q1,Laois-Offaly Garda Division,Public order and other social code offences,262.0
2006Q1,Laois-Offaly Garda Division,Road and traffic offences,325.0
2006Q1,Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",5.0
2006Q1,Laois-Offaly Garda Division,Sexual offences,10.0
2006Q1,Laois-Offaly Garda Division,Theft and related offences,391.0
2006Q1,Laois-Offaly Garda Division,Weapons and explosives offences,12.0
2006Q2,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",111.0
2006Q2,Laois-Offaly Garda Division,Burglary and related offences,127.0
2006Q2,Laois-Offaly Garda Division,Controlled drug offences,110.0
2006Q2,Laois-Offaly Garda Division,Damage to property and to the environment  offences,183.0
2006Q2,Laois-Offaly Garda Division,Dangerous or negligent acts,596.0
2006Q2,Laois-Offaly Garda Division,"Fraud, deception and related offences",24.0
2006Q2,Laois-Offaly Garda Division,Homicide & related offences,1.0
2006Q2,Laois-Offaly Garda Division,Kidnapping and related offences,1.0
2006Q2,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",39.0
2006Q2,Laois-Offaly Garda Division,Offences not elsewhere classified,17.0
2006Q2,Laois-Offaly Garda Division,Public order and other social code offences,296.0
2006Q2,Laois-Offaly Garda Division,Road and traffic offences,762.0
2006Q2,Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",4.0
2006Q2,Laois-Offaly Garda Division,Sexual offences,11.0
2006Q2,Laois-Offaly Garda Division,Theft and related offences,394.0
2006Q2,Laois-Offaly Garda Division,Weapons and explosives offences,17.0
2006Q3,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",127.0
2006Q3,Laois-Offaly Garda Division,Burglary and related offences,148.0
2006Q3,Laois-Offaly Garda Division,Controlled drug offences,146.0
2006Q3,Laois-Offaly Garda Division,Damage to property and to the environment  offences,244.0
2006Q3,Laois-Offaly Garda Division,Dangerous or negligent acts,587.0
2006Q3,Laois-Offaly Garda Division,"Fraud, deception and related offences",9.0
2006Q3,Laois-Offaly Garda Division,Homicide & related offences,0.0
2006Q3,Laois-Offaly Garda Division,Kidnapping and related offences,0.0
2006Q3,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",33.0
2006Q3,Laois-Offaly Garda Division,Offences not elsewhere classified,10.0
2006Q3,Laois-Offaly Garda Division,Public order and other social code offences,251.0
