Quarter,Garda Division,Type of Offence,VALUE
2005Q3,Galway Garda Division,"Fraud, deception and related offences",27.0
2005Q3,Galway Garda Division,Homicide & related offences,3.0
2005Q3,Galway Garda Division,Kidnapping and related offences,0.0
2005Q3,Galway Garda Division,"Offences against government, justice procedures and organisation of crime",63.0
2005Q3,Galway Garda Division,Offences not elsewhere classified,29.0
2005Q3,Galway Garda Division,Public order and other social code offences,668.0
2005Q3,Galway Garda Division,Road and traffic offences,542.0
2005Q3,Galway Garda Division,"Robbery, extortion and hijacking offences",12.0
2005Q3,Galway Garda Division,Sexual offences,22.0
2005Q3,Galway Garda Division,Theft and related offences,857.0
2005Q3,Galway Garda Division,Weapons and explosives offences,11.0
2005Q4,Galway Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",196.0
2005Q4,Galway Garda Division,Burglary and related offences,352.0
2005Q4,Galway Garda Division,Controlled drug offences,111.0
2005Q4,Galway Garda Division,Damage to property and to the environment  offences,473.0
2005Q4,Galway Garda Division,Dangerous or negligent acts,386.0
2005Q4,Galway Garda Division,"Fraud, deception and related offences",29.0
2005Q4,Galway Garda Division,Homicide & related offences,0.0
2005Q4,Galway Garda Division,Kidnapping and related offences,0.0
2005Q4,Galway Garda Division,"Offences against government, justice procedures and organisation of crime",48.0
2005Q4,Galway Garda Division,Offences not elsewhere classified,23.0
2005Q4,Galway Garda Division,Public order and other social code offences,644.0
2005Q4,Galway Garda Division,Road and traffic offences,681.0
2005Q4,Galway Garda Division,"Robbery, extortion and hijacking offences",17.0
2005Q4,Galway Garda Division,Sexual offences,15.0
2005Q4,Galway Garda Division,Theft and related offences,738.0
2005Q4,Galway Garda Division,Weapons and explosives offences,20.0
2006Q1,Galway Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",202.0
2006Q1,Galway Garda Division,Burglary and related offences,238.0
2006Q1,Galway Garda Division,Controlled drug offences,77.0
2006Q1,Galway Garda Division,Damage to property and to the environment  offences,410.0
2006Q1,Galway Garda Division,Dangerous or negligent acts,519.0
2006Q1,Galway Garda Division,"Fraud, deception and related offences",43.0
2006Q1,Galway Garda Division,Homicide & related offences,0.0
2006Q1,Galway Garda Division,Kidnapping and related offences,1.0
2006Q1,Galway Garda Division,"Offences against government, justice procedures and organisation of crime",48.0
2006Q1,Galway Garda Division,Offences not elsewhere classified,43.0
2006Q1,Galway Garda Division,Public order and other social code offences,615.0
2006Q1,Galway Garda Division,Road and traffic offences,555.0
2006Q1,Galway Garda Division,"Robbery, extortion and hijacking offences",22.0
2006Q1,Galway Garda Division,Sexual offences,11.0
2006Q1,Galway Garda Division,Theft and related offences,730.0
2006Q1,Galway Garda Division,Weapons and explosives offences,17.0
2006Q2,Galway Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",155.0
2006Q2,Galway Garda Division,Burglary and related offences,176.0
2006Q2,Galway Garda Division,Controlled drug offences,125.0
2006Q2,Galway Garda Division,Damage to property and to the environment  offences,324.0
2006Q2,Galway Garda Division,Dangerous or negligent acts,647.0
2006Q2,Galway Garda Division,"Fraud, deception and related offences",57.0
2006Q2,Galway Garda Division,Homicide & related offences,4.0
2006Q2,Galway Garda Division,Kidnapping and related offences,0.0
2006Q2,Galway Garda Division,"Offences against government, justice procedures and organisation of crime",53.0
2006Q2,Galway Garda Division,Offences not elsewhere classified,35.0
2006Q2,Galway Garda Division,Public order and other social code offences,583.0
2006Q2,Galway Garda Division,Road and traffic offences,1348.0
2006Q2,Galway Garda Division,"Robbery, extortion and hijacking offences",19.0
2006Q2,Galway Garda Division,Sexual offences,12.0
2006Q2,Galway Garda Division,Theft and related offences,709.0
2006Q2,Galway Garda Division,Weapons and explosives offences,8.0
2006Q3,Galway Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",227.0
2006Q3,Galway Garda Division,Burglary and related offences,276.0
2006Q3,Galway Garda Division,Controlled drug offences,107.0
2006Q3,Galway Garda Division,Damage to property and to the environment  offences,413.0
2006Q3,Galway Garda Division,Dangerous or negligent acts,726.0
2006Q3,Galway Garda Division,"Fraud, deception and related offences",40.0
2006Q3,Galway Garda Division,Homicide & related offences,1.0
2006Q3,Galway Garda Division,Kidnapping and related offences,1.0
2006Q3,Galway Garda Division,"Offences against government, justice procedures and organisation of crime",58.0
2006Q3,Galway Garda Division,Offences not elsewhere classified,41.0
2006Q3,Galway Garda Division,Public order and other social code offences,769.0
2006Q3,Galway Garda Division,Road and traffic offences,1126.0
2006Q3,Galway Garda Division,"Robbery, extortion and hijacking offences",19.0
2006Q3,Galway Garda Division,Sexual offences,11.0
2006Q3,Galway Garda Division,Theft and related offences,867.0
2006Q3,Galway Garda Division,Weapons and explosives offences,21.0
2006Q4,Galway Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",237.0
2006Q4,Galway Garda Division,Burglary and related offences,359.0
2006Q4,Galway Garda Division,Controlled drug offences,115.0
2006Q4,Galway Garda Division,Damage to property and to the environment  offences,480.0
2006Q4,Galway Garda Division,Dangerous or negligent acts,550.0
2006Q4,Galway Garda Division,"Fraud, deception and related offences",37.0
2006Q4,Galway Garda Division,Homicide & related offences,2.0
2006Q4,Galway Garda Division,Kidnapping and related offences,0.0
2006Q4,Galway Garda Division,"Offences against government, justice procedures and organisation of crime",66.0
2006Q4,Galway Garda Division,Offences not elsewhere classified,37.0
2006Q4,Galway Garda Division,Public order and other social code offences,714.0
2006Q4,Galway Garda Division,Road and traffic offences,1058.0
2006Q4,Galway Garda Division,"Robbery, extortion and hijacking offences",21.0
2006Q4,Galway Garda Division,Sexual offences,9.0
2006Q4,Galway Garda Division,Theft and related offences,847.0
2006Q4,Galway Garda Division,Weapons and explosives offences,19.0
2007Q1,Galway Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",204.0
