Quarter,Garda Division,Type of Offence,VALUE
2007Q1,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",90.0
2007Q1,Cork North Garda Division,Burglary and related offences,66.0
2007Q1,Cork North Garda Division,Controlled drug offences,117.0
2007Q1,Cork North Garda Division,Damage to property and to the environment  offences,158.0
2007Q1,Cork North Garda Division,Dangerous or negligent acts,481.0
2007Q1,Cork North Garda Division,"Fraud, deception and related offences",38.0
2007Q1,Cork North Garda Division,Homicide & related offences,1.0
2007Q1,Cork North Garda Division,Kidnapping and related offences,0.0
2007Q1,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",47.0
2007Q1,Cork North Garda Division,Offences not elsewhere classified,22.0
2007Q1,Cork North Garda Division,Public order and other social code offences,369.0
2007Q1,Cork North Garda Division,Road and traffic offences,971.0
2007Q1,Cork North Garda Division,"Robbery, extortion and hijacking offences",4.0
2007Q1,Cork North Garda Division,Sexual offences,12.0
2007Q1,Cork North Garda Division,Theft and related offences,248.0
2007Q1,Cork North Garda Division,Weapons and explosives offences,9.0
2007Q2,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",116.0
2007Q2,Cork North Garda Division,Burglary and related offences,85.0
2007Q2,Cork North Garda Division,Controlled drug offences,142.0
2007Q2,Cork North Garda Division,Damage to property and to the environment  offences,218.0
2007Q2,Cork North Garda Division,Dangerous or negligent acts,745.0
2007Q2,Cork North Garda Division,"Fraud, deception and related offences",41.0
2007Q2,Cork North Garda Division,Homicide & related offences,0.0
2007Q2,Cork North Garda Division,Kidnapping and related offences,0.0
2007Q2,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",36.0
2007Q2,Cork North Garda Division,Offences not elsewhere classified,19.0
2007Q2,Cork North Garda Division,Public order and other social code offences,386.0
2007Q2,Cork North Garda Division,Road and traffic offences,1213.0
2007Q2,Cork North Garda Division,"Robbery, extortion and hijacking offences",2.0
2007Q2,Cork North Garda Division,Sexual offences,4.0
2007Q2,Cork North Garda Division,Theft and related offences,278.0
2007Q2,Cork North Garda Division,Weapons and explosives offences,15.0
2007Q3,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",119.0
2007Q3,Cork North Garda Division,Burglary and related offences,66.0
2007Q3,Cork North Garda Division,Controlled drug offences,142.0
2007Q3,Cork North Garda Division,Damage to property and to the environment  offences,204.0
2007Q3,Cork North Garda Division,Dangerous or negligent acts,563.0
2007Q3,Cork North Garda Division,"Fraud, deception and related offences",35.0
2007Q3,Cork North Garda Division,Homicide & related offences,2.0
2007Q3,Cork North Garda Division,Kidnapping and related offences,1.0
2007Q3,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",39.0
2007Q3,Cork North Garda Division,Offences not elsewhere classified,22.0
2007Q3,Cork North Garda Division,Public order and other social code offences,472.0
2007Q3,Cork North Garda Division,Road and traffic offences,1105.0
2007Q3,Cork North Garda Division,"Robbery, extortion and hijacking offences",0.0
2007Q3,Cork North Garda Division,Sexual offences,10.0
2007Q3,Cork North Garda Division,Theft and related offences,253.0
2007Q3,Cork North Garda Division,Weapons and explosives offences,14.0
2007Q4,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",107.0
2007Q4,Cork North Garda Division,Burglary and related offences,62.0
2007Q4,Cork North Garda Division,Controlled drug offences,203.0
2007Q4,Cork North Garda Division,Damage to property and to the environment  offences,175.0
2007Q4,Cork North Garda Division,Dangerous or negligent acts,505.0
2007Q4,Cork North Garda Division,"Fraud, deception and related offences",24.0
2007Q4,Cork North Garda Division,Homicide & related offences,0.0
2007Q4,Cork North Garda Division,Kidnapping and related offences,2.0
2007Q4,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",38.0
2007Q4,Cork North Garda Division,Offences not elsewhere classified,28.0
2007Q4,Cork North Garda Division,Public order and other social code offences,552.0
2007Q4,Cork North Garda Division,Road and traffic offences,1149.0
2007Q4,Cork North Garda Division,"Robbery, extortion and hijacking offences",6.0
2007Q4,Cork North Garda Division,Sexual offences,6.0
2007Q4,Cork North Garda Division,Theft and related offences,257.0
2007Q4,Cork North Garda Division,Weapons and explosives offences,24.0
2008Q1,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",107.0
2008Q1,Cork North Garda Division,Burglary and related offences,66.0
2008Q1,Cork North Garda Division,Controlled drug offences,145.0
2008Q1,Cork North Garda Division,Damage to property and to the environment  offences,174.0
2008Q1,Cork North Garda Division,Dangerous or negligent acts,549.0
2008Q1,Cork North Garda Division,"Fraud, deception and related offences",40.0
2008Q1,Cork North Garda Division,Homicide & related offences,0.0
2008Q1,Cork North Garda Division,Kidnapping and related offences,0.0
2008Q1,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",42.0
2008Q1,Cork North Garda Division,Offences not elsewhere classified,27.0
2008Q1,Cork North Garda Division,Public order and other social code offences,426.0
2008Q1,Cork North Garda Division,Road and traffic offences,1083.0
2008Q1,Cork North Garda Division,"Robbery, extortion and hijacking offences",2.0
2008Q1,Cork North Garda Division,Sexual offences,7.0
2008Q1,Cork North Garda Division,Theft and related offences,275.0
2008Q1,Cork North Garda Division,Weapons and explosives offences,19.0
2008Q2,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",146.0
2008Q2,Cork North Garda Division,Burglary and related offences,87.0
2008Q2,Cork North Garda Division,Controlled drug offences,177.0
2008Q2,Cork North Garda Division,Damage to property and to the environment  offences,206.0
2008Q2,Cork North Garda Division,Dangerous or negligent acts,545.0
2008Q2,Cork North Garda Division,"Fraud, deception and related offences",35.0
2008Q2,Cork North Garda Division,Homicide & related offences,0.0
2008Q2,Cork North Garda Division,Kidnapping and related offences,0.0
2008Q2,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",37.0
2008Q2,Cork North Garda Division,Offences not elsewhere classified,25.0
2008Q2,Cork North Garda Division,Public order and other social code offences,483.0
2008Q2,Cork North Garda Division,Road and traffic offences,1214.0
2008Q2,Cork North Garda Division,"Robbery, extortion and hijacking offences",1.0
2008Q2,Cork North Garda Division,Sexual offences,7.0
2008Q2,Cork North Garda Division,Theft and related offences,298.0
2008Q2,Cork North Garda Division,Weapons and explosives offences,10.0
2008Q3,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",118.0
2008Q3,Cork North Garda Division,Burglary and related offences,71.0
2008Q3,Cork North Garda Division,Controlled drug offences,168.0
2008Q3,Cork North Garda Division,Damage to property and to the environment  offences,224.0
2008Q3,Cork North Garda Division,Dangerous or negligent acts,468.0
2008Q3,Cork North Garda Division,"Fraud, deception and related offences",29.0
2008Q3,Cork North Garda Division,Homicide & related offences,0.0
2008Q3,Cork North Garda Division,Kidnapping and related offences,1.0
2008Q3,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",40.0
2008Q3,Cork North Garda Division,Offences not elsewhere classified,28.0
2008Q3,Cork North Garda Division,Public order and other social code offences,424.0
2008Q3,Cork North Garda Division,Road and traffic offences,1014.0
