Quarter,Garda Division,Type of Offence,VALUE
2007Q3,Meath Garda Division,Kidnapping and related offences,1.0
2007Q3,Meath Garda Division,"Offences against government, justice procedures and organisation of crime",36.0
2007Q3,Meath Garda Division,Offences not elsewhere classified,13.0
2007Q3,Meath Garda Division,Public order and other social code offences,329.0
2007Q3,Meath Garda Division,Road and traffic offences,678.0
2007Q3,Meath Garda Division,"Robbery, extortion and hijacking offences",15.0
2007Q3,Meath Garda Division,Sexual offences,13.0
2007Q3,Meath Garda Division,Theft and related offences,538.0
2007Q3,Meath Garda Division,Weapons and explosives offences,21.0
2007Q4,Meath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",128.0
2007Q4,Meath Garda Division,Burglary and related offences,247.0
2007Q4,Meath Garda Division,Controlled drug offences,85.0
2007Q4,Meath Garda Division,Damage to property and to the environment  offences,305.0
2007Q4,Meath Garda Division,Dangerous or negligent acts,593.0
2007Q4,Meath Garda Division,"Fraud, deception and related offences",46.0
2007Q4,Meath Garda Division,Homicide & related offences,5.0
2007Q4,Meath Garda Division,Kidnapping and related offences,1.0
2007Q4,Meath Garda Division,"Offences against government, justice procedures and organisation of crime",34.0
2007Q4,Meath Garda Division,Offences not elsewhere classified,16.0
2007Q4,Meath Garda Division,Public order and other social code offences,278.0
2007Q4,Meath Garda Division,Road and traffic offences,778.0
2007Q4,Meath Garda Division,"Robbery, extortion and hijacking offences",7.0
2007Q4,Meath Garda Division,Sexual offences,8.0
2007Q4,Meath Garda Division,Theft and related offences,512.0
2007Q4,Meath Garda Division,Weapons and explosives offences,34.0
2008Q1,Meath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",132.0
2008Q1,Meath Garda Division,Burglary and related offences,197.0
2008Q1,Meath Garda Division,Controlled drug offences,95.0
2008Q1,Meath Garda Division,Damage to property and to the environment  offences,240.0
2008Q1,Meath Garda Division,Dangerous or negligent acts,537.0
2008Q1,Meath Garda Division,"Fraud, deception and related offences",33.0
2008Q1,Meath Garda Division,Homicide & related offences,1.0
2008Q1,Meath Garda Division,Kidnapping and related offences,1.0
2008Q1,Meath Garda Division,"Offences against government, justice procedures and organisation of crime",57.0
2008Q1,Meath Garda Division,Offences not elsewhere classified,31.0
2008Q1,Meath Garda Division,Public order and other social code offences,278.0
2008Q1,Meath Garda Division,Road and traffic offences,1030.0
2008Q1,Meath Garda Division,"Robbery, extortion and hijacking offences",10.0
2008Q1,Meath Garda Division,Sexual offences,7.0
2008Q1,Meath Garda Division,Theft and related offences,436.0
2008Q1,Meath Garda Division,Weapons and explosives offences,21.0
2008Q2,Meath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",149.0
2008Q2,Meath Garda Division,Burglary and related offences,202.0
2008Q2,Meath Garda Division,Controlled drug offences,126.0
2008Q2,Meath Garda Division,Damage to property and to the environment  offences,295.0
2008Q2,Meath Garda Division,Dangerous or negligent acts,661.0
2008Q2,Meath Garda Division,"Fraud, deception and related offences",44.0
2008Q2,Meath Garda Division,Homicide & related offences,0.0
2008Q2,Meath Garda Division,Kidnapping and related offences,0.0
2008Q2,Meath Garda Division,"Offences against government, justice procedures and organisation of crime",42.0
2008Q2,Meath Garda Division,Offences not elsewhere classified,27.0
2008Q2,Meath Garda Division,Public order and other social code offences,287.0
2008Q2,Meath Garda Division,Road and traffic offences,1020.0
2008Q2,Meath Garda Division,"Robbery, extortion and hijacking offences",13.0
2008Q2,Meath Garda Division,Sexual offences,8.0
2008Q2,Meath Garda Division,Theft and related offences,553.0
2008Q2,Meath Garda Division,Weapons and explosives offences,22.0
2008Q3,Meath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",166.0
2008Q3,Meath Garda Division,Burglary and related offences,246.0
