Year,Garda Division,Type of Offence,VALUE
2004,Meath Garda Division,"Insurance-failure to have, produce, display, etc. (1412)",346.0
2004,Meath Garda Division,Kidnapping and related offences (05),0.0
2004,Meath Garda Division,Light rail offences (Luas) (1443),0.0
2004,Meath Garda Division,Liquor licensing offences (133),64.0
2004,Meath Garda Division,Litter offences (1221),0.0
2004,Meath Garda Division,Manslaughter (0112),0.0
2004,Meath Garda Division,Murder (0111),1.0
2004,Meath Garda Division,Murder-attempt (0311),0.0
2004,Meath Garda Division,Obstruction under Road Traffic Acts (1432),1.0
2004,Meath Garda Division,Offences against government and its agents (151),1.0
2004,Meath Garda Division,"Offences against government, justice procedures and organisation of crime (15)",117.0
2004,Meath Garda Division,Offences not elsewhere classified (16),22.0
2004,Meath Garda Division,"Offences while in custody, breach of court orders (157)",113.0
2004,Meath Garda Division,Offensive weapons offences (n.e.c.) (113),24.0
2004,Meath Garda Division,Organisation of crime and conspiracy to commit crime (152),1.0
2004,Meath Garda Division,Other assault (035),159.0
2004,Meath Garda Division,Other drug offences (103),3.0
2004,Meath Garda Division,Other road offences (1433),589.0
2004,Meath Garda Division,Other sexual offences (022),0.0
2004,Meath Garda Division,"Other thefts, handling stolen property (084)",912.0
2004,Meath Garda Division,Perverting the course of justice (153),2.0
2004,Meath Garda Division,Possession of a firearm (1122),6.0
2004,Meath Garda Division,"Possession of an article (with intent to burgle, steal, demand) (0713)",7.0
2004,Meath Garda Division,Possession of drugs for personal use (1022),159.0
2004,Meath Garda Division,Possession of drugs for sale or supply (1021),10.0
2004,Meath Garda Division,Prostitution offences (134),2.0
2004,Meath Garda Division,Public order and other social code offences (13),558.0
2004,Meath Garda Division,Public service vehicle offences (1442),7.0
2004,Meath Garda Division,Rape and sexual assault (021),29.0
2004,Meath Garda Division,"Regulated betting/money, collection/trading offences (135)",2.0
2004,Meath Garda Division,Road and traffic offences (14),1169.0
2004,Meath Garda Division,Road transport - carriage of goods offences (1441),44.0
2004,Meath Garda Division,Roadworthiness/regulatory offences (143),14.0
2004,Meath Garda Division,Robbery from the person (0613),19.0
2004,Meath Garda Division,Robbery of an establishment or institution (0611),27.0
2004,Meath Garda Division,Robbery of cash or goods in transit (0612),4.0
2004,Meath Garda Division,"Robbery, extortion and hijacking offences (06)",51.0
2004,Meath Garda Division,Sexual offences (02),29.0
2004,Meath Garda Division,Social code offences (n.e.c.) (136),5.0
2004,Meath Garda Division,Speeding (0415),103.0
2004,Meath Garda Division,Theft and related offences (08),1560.0
2004,Meath Garda Division,Theft from person (0821),60.0
2004,Meath Garda Division,Theft from shop (0822),216.0
2004,Meath Garda Division,Theft/taking of vehicle and related offences (081),372.0
2004,Meath Garda Division,Threat to kill or cause serious harm (0313),0.0
2004,Meath Garda Division,Trespass offences (132),18.0
2004,Meath Garda Division,Unseaworthy/dangerous use of boat or ship (0423),0.0
2004,Meath Garda Division,Vehicle tax/registration offences (142),139.0
2004,Meath Garda Division,Weapons and explosives offences (11),33.0
