Quarter,Garda Division,Type of Offence,VALUE
2005Q1,Louth Garda Division,Controlled drug offences,48.0
2005Q1,Louth Garda Division,Damage to property and to the environment  offences,329.0
2005Q1,Louth Garda Division,Dangerous or negligent acts,145.0
2005Q1,Louth Garda Division,"Fraud, deception and related offences",35.0
2005Q1,Louth Garda Division,Homicide & related offences,3.0
2005Q1,Louth Garda Division,Kidnapping and related offences,1.0
2005Q1,Louth Garda Division,"Offences against government, justice procedures and organisation of crime",34.0
2005Q1,Louth Garda Division,Offences not elsewhere classified,133.0
2005Q1,Louth Garda Division,Public order and other social code offences,317.0
2005Q1,Louth Garda Division,Road and traffic offences,212.0
2005Q1,Louth Garda Division,"Robbery, extortion and hijacking offences",7.0
2005Q1,Louth Garda Division,Sexual offences,11.0
2005Q1,Louth Garda Division,Theft and related offences,448.0
2005Q1,Louth Garda Division,Weapons and explosives offences,14.0
2005Q2,Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",75.0
2005Q2,Louth Garda Division,Burglary and related offences,212.0
2005Q2,Louth Garda Division,Controlled drug offences,36.0
2005Q2,Louth Garda Division,Damage to property and to the environment  offences,285.0
2005Q2,Louth Garda Division,Dangerous or negligent acts,167.0
2005Q2,Louth Garda Division,"Fraud, deception and related offences",32.0
2005Q2,Louth Garda Division,Homicide & related offences,2.0
2005Q2,Louth Garda Division,Kidnapping and related offences,1.0
2005Q2,Louth Garda Division,"Offences against government, justice procedures and organisation of crime",45.0
2005Q2,Louth Garda Division,Offences not elsewhere classified,88.0
2005Q2,Louth Garda Division,Public order and other social code offences,288.0
2005Q2,Louth Garda Division,Road and traffic offences,284.0
2005Q2,Louth Garda Division,"Robbery, extortion and hijacking offences",14.0
2005Q2,Louth Garda Division,Sexual offences,20.0
2005Q2,Louth Garda Division,Theft and related offences,511.0
2005Q2,Louth Garda Division,Weapons and explosives offences,21.0
2005Q3,Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",103.0
2005Q3,Louth Garda Division,Burglary and related offences,266.0
2005Q3,Louth Garda Division,Controlled drug offences,30.0
2005Q3,Louth Garda Division,Damage to property and to the environment  offences,353.0
2005Q3,Louth Garda Division,Dangerous or negligent acts,156.0
2005Q3,Louth Garda Division,"Fraud, deception and related offences",29.0
2005Q3,Louth Garda Division,Homicide & related offences,1.0
2005Q3,Louth Garda Division,Kidnapping and related offences,0.0
2005Q3,Louth Garda Division,"Offences against government, justice procedures and organisation of crime",37.0
2005Q3,Louth Garda Division,Offences not elsewhere classified,83.0
2005Q3,Louth Garda Division,Public order and other social code offences,330.0
2005Q3,Louth Garda Division,Road and traffic offences,293.0
2005Q3,Louth Garda Division,"Robbery, extortion and hijacking offences",8.0
2005Q3,Louth Garda Division,Sexual offences,11.0
2005Q3,Louth Garda Division,Theft and related offences,586.0
2005Q3,Louth Garda Division,Weapons and explosives offences,13.0
2005Q4,Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",91.0
2005Q4,Louth Garda Division,Burglary and related offences,271.0
2005Q4,Louth Garda Division,Controlled drug offences,45.0
2005Q4,Louth Garda Division,Damage to property and to the environment  offences,292.0
2005Q4,Louth Garda Division,Dangerous or negligent acts,260.0
2005Q4,Louth Garda Division,"Fraud, deception and related offences",16.0
2005Q4,Louth Garda Division,Homicide & related offences,2.0
2005Q4,Louth Garda Division,Kidnapping and related offences,1.0
2005Q4,Louth Garda Division,"Offences against government, justice procedures and organisation of crime",40.0
2005Q4,Louth Garda Division,Offences not elsewhere classified,65.0
2005Q4,Louth Garda Division,Public order and other social code offences,463.0
2005Q4,Louth Garda Division,Road and traffic offences,406.0
2005Q4,Louth Garda Division,"Robbery, extortion and hijacking offences",4.0
2005Q4,Louth Garda Division,Sexual offences,14.0
2005Q4,Louth Garda Division,Theft and related offences,390.0
2005Q4,Louth Garda Division,Weapons and explosives offences,14.0
2006Q1,Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",84.0
2006Q1,Louth Garda Division,Burglary and related offences,213.0
2006Q1,Louth Garda Division,Controlled drug offences,78.0
2006Q1,Louth Garda Division,Damage to property and to the environment  offences,353.0
2006Q1,Louth Garda Division,Dangerous or negligent acts,576.0
2006Q1,Louth Garda Division,"Fraud, deception and related offences",31.0
2006Q1,Louth Garda Division,Homicide & related offences,0.0
2006Q1,Louth Garda Division,Kidnapping and related offences,1.0
2006Q1,Louth Garda Division,"Offences against government, justice procedures and organisation of crime",42.0
2006Q1,Louth Garda Division,Offences not elsewhere classified,102.0
2006Q1,Louth Garda Division,Public order and other social code offences,272.0
2006Q1,Louth Garda Division,Road and traffic offences,366.0
2006Q1,Louth Garda Division,"Robbery, extortion and hijacking offences",12.0
2006Q1,Louth Garda Division,Sexual offences,12.0
2006Q1,Louth Garda Division,Theft and related offences,493.0
2006Q1,Louth Garda Division,Weapons and explosives offences,15.0
2006Q2,Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",92.0
2006Q2,Louth Garda Division,Burglary and related offences,188.0
2006Q2,Louth Garda Division,Controlled drug offences,50.0
2006Q2,Louth Garda Division,Damage to property and to the environment  offences,348.0
2006Q2,Louth Garda Division,Dangerous or negligent acts,585.0
2006Q2,Louth Garda Division,"Fraud, deception and related offences",22.0
2006Q2,Louth Garda Division,Homicide & related offences,3.0
2006Q2,Louth Garda Division,Kidnapping and related offences,1.0
2006Q2,Louth Garda Division,"Offences against government, justice procedures and organisation of crime",40.0
2006Q2,Louth Garda Division,Offences not elsewhere classified,118.0
2006Q2,Louth Garda Division,Public order and other social code offences,316.0
2006Q2,Louth Garda Division,Road and traffic offences,641.0
2006Q2,Louth Garda Division,"Robbery, extortion and hijacking offences",14.0
2006Q2,Louth Garda Division,Sexual offences,8.0
2006Q2,Louth Garda Division,Theft and related offences,488.0
