Quarter,Garda Division,Type of Offence,VALUE
2005Q1,Wexford Garda Division,"Fraud, deception and related offences",38.0
2005Q1,Wexford Garda Division,Homicide & related offences,1.0
2005Q1,Wexford Garda Division,Kidnapping and related offences,3.0
2005Q1,Wexford Garda Division,"Offences against government, justice procedures and organisation of crime",21.0
2005Q1,Wexford Garda Division,Offences not elsewhere classified,6.0
2005Q1,Wexford Garda Division,Public order and other social code offences,173.0
2005Q1,Wexford Garda Division,Road and traffic offences,313.0
2005Q1,Wexford Garda Division,"Robbery, extortion and hijacking offences",4.0
2005Q1,Wexford Garda Division,Sexual offences,38.0
2005Q1,Wexford Garda Division,Theft and related offences,304.0
2005Q1,Wexford Garda Division,Weapons and explosives offences,8.0
2005Q2,Wexford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",87.0
2005Q2,Wexford Garda Division,Burglary and related offences,215.0
2005Q2,Wexford Garda Division,Controlled drug offences,132.0
2005Q2,Wexford Garda Division,Damage to property and to the environment  offences,166.0
2005Q2,Wexford Garda Division,Dangerous or negligent acts,181.0
2005Q2,Wexford Garda Division,"Fraud, deception and related offences",30.0
2005Q2,Wexford Garda Division,Homicide & related offences,4.0
2005Q2,Wexford Garda Division,Kidnapping and related offences,0.0
2005Q2,Wexford Garda Division,"Offences against government, justice procedures and organisation of crime",24.0
2005Q2,Wexford Garda Division,Offences not elsewhere classified,8.0
2005Q2,Wexford Garda Division,Public order and other social code offences,275.0
2005Q2,Wexford Garda Division,Road and traffic offences,445.0
2005Q2,Wexford Garda Division,"Robbery, extortion and hijacking offences",2.0
2005Q2,Wexford Garda Division,Sexual offences,10.0
2005Q2,Wexford Garda Division,Theft and related offences,342.0
2005Q2,Wexford Garda Division,Weapons and explosives offences,14.0
2005Q3,Wexford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",79.0
2005Q3,Wexford Garda Division,Burglary and related offences,198.0
2005Q3,Wexford Garda Division,Controlled drug offences,125.0
2005Q3,Wexford Garda Division,Damage to property and to the environment  offences,217.0
2005Q3,Wexford Garda Division,Dangerous or negligent acts,221.0
2005Q3,Wexford Garda Division,"Fraud, deception and related offences",58.0
2005Q3,Wexford Garda Division,Homicide & related offences,0.0
2005Q3,Wexford Garda Division,Kidnapping and related offences,0.0
2005Q3,Wexford Garda Division,"Offences against government, justice procedures and organisation of crime",11.0
2005Q3,Wexford Garda Division,Offences not elsewhere classified,11.0
2005Q3,Wexford Garda Division,Public order and other social code offences,326.0
2005Q3,Wexford Garda Division,Road and traffic offences,333.0
2005Q3,Wexford Garda Division,"Robbery, extortion and hijacking offences",8.0
2005Q3,Wexford Garda Division,Sexual offences,12.0
2005Q3,Wexford Garda Division,Theft and related offences,369.0
2005Q3,Wexford Garda Division,Weapons and explosives offences,10.0
2005Q4,Wexford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",96.0
2005Q4,Wexford Garda Division,Burglary and related offences,216.0
2005Q4,Wexford Garda Division,Controlled drug offences,122.0
2005Q4,Wexford Garda Division,Damage to property and to the environment  offences,193.0
2005Q4,Wexford Garda Division,Dangerous or negligent acts,300.0
2005Q4,Wexford Garda Division,"Fraud, deception and related offences",12.0
2005Q4,Wexford Garda Division,Homicide & related offences,2.0
2005Q4,Wexford Garda Division,Kidnapping and related offences,1.0
2005Q4,Wexford Garda Division,"Offences against government, justice procedures and organisation of crime",18.0
2005Q4,Wexford Garda Division,Offences not elsewhere classified,10.0
2005Q4,Wexford Garda Division,Public order and other social code offences,295.0
2005Q4,Wexford Garda Division,Road and traffic offences,413.0
2005Q4,Wexford Garda Division,"Robbery, extortion and hijacking offences",7.0
2005Q4,Wexford Garda Division,Sexual offences,8.0
2005Q4,Wexford Garda Division,Theft and related offences,323.0
2005Q4,Wexford Garda Division,Weapons and explosives offences,12.0
2006Q1,Wexford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",81.0
2006Q1,Wexford Garda Division,Burglary and related offences,248.0
2006Q1,Wexford Garda Division,Controlled drug offences,76.0
2006Q1,Wexford Garda Division,Damage to property and to the environment  offences,246.0
2006Q1,Wexford Garda Division,Dangerous or negligent acts,358.0
2006Q1,Wexford Garda Division,"Fraud, deception and related offences",15.0
2006Q1,Wexford Garda Division,Homicide & related offences,4.0
2006Q1,Wexford Garda Division,Kidnapping and related offences,0.0
2006Q1,Wexford Garda Division,"Offences against government, justice procedures and organisation of crime",34.0
2006Q1,Wexford Garda Division,Offences not elsewhere classified,45.0
2006Q1,Wexford Garda Division,Public order and other social code offences,255.0
2006Q1,Wexford Garda Division,Road and traffic offences,410.0
2006Q1,Wexford Garda Division,"Robbery, extortion and hijacking offences",6.0
2006Q1,Wexford Garda Division,Sexual offences,14.0
2006Q1,Wexford Garda Division,Theft and related offences,333.0
2006Q1,Wexford Garda Division,Weapons and explosives offences,13.0
2006Q2,Wexford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",105.0
2006Q2,Wexford Garda Division,Burglary and related offences,171.0
2006Q2,Wexford Garda Division,Controlled drug offences,124.0
2006Q2,Wexford Garda Division,Damage to property and to the environment  offences,233.0
2006Q2,Wexford Garda Division,Dangerous or negligent acts,424.0
2006Q2,Wexford Garda Division,"Fraud, deception and related offences",43.0
2006Q2,Wexford Garda Division,Homicide & related offences,1.0
2006Q2,Wexford Garda Division,Kidnapping and related offences,0.0
2006Q2,Wexford Garda Division,"Offences against government, justice procedures and organisation of crime",20.0
2006Q2,Wexford Garda Division,Offences not elsewhere classified,18.0
2006Q2,Wexford Garda Division,Public order and other social code offences,360.0
2006Q2,Wexford Garda Division,Road and traffic offences,970.0
2006Q2,Wexford Garda Division,"Robbery, extortion and hijacking offences",2.0
2006Q2,Wexford Garda Division,Sexual offences,14.0
2006Q2,Wexford Garda Division,Theft and related offences,353.0
2006Q2,Wexford Garda Division,Weapons and explosives offences,19.0
2006Q3,Wexford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",100.0
2006Q3,Wexford Garda Division,Burglary and related offences,192.0
2006Q3,Wexford Garda Division,Controlled drug offences,92.0
2006Q3,Wexford Garda Division,Damage to property and to the environment  offences,236.0
