Quarter,Garda Division,Type of Offence,VALUE
2007Q1,Mayo Garda Division,Weapons and explosives offences,3.0
2007Q2,Mayo Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",135.0
2007Q2,Mayo Garda Division,Burglary and related offences,102.0
2007Q2,Mayo Garda Division,Controlled drug offences,55.0
2007Q2,Mayo Garda Division,Damage to property and to the environment  offences,201.0
2007Q2,Mayo Garda Division,Dangerous or negligent acts,328.0
2007Q2,Mayo Garda Division,"Fraud, deception and related offences",21.0
2007Q2,Mayo Garda Division,Homicide & related offences,1.0
2007Q2,Mayo Garda Division,Kidnapping and related offences,2.0
2007Q2,Mayo Garda Division,"Offences against government, justice procedures and organisation of crime",10.0
2007Q2,Mayo Garda Division,Offences not elsewhere classified,18.0
2007Q2,Mayo Garda Division,Public order and other social code offences,273.0
2007Q2,Mayo Garda Division,Road and traffic offences,485.0
2007Q2,Mayo Garda Division,"Robbery, extortion and hijacking offences",4.0
2007Q2,Mayo Garda Division,Sexual offences,6.0
2007Q2,Mayo Garda Division,Theft and related offences,341.0
2007Q2,Mayo Garda Division,Weapons and explosives offences,6.0
2007Q3,Mayo Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",149.0
2007Q3,Mayo Garda Division,Burglary and related offences,116.0
2007Q3,Mayo Garda Division,Controlled drug offences,54.0
2007Q3,Mayo Garda Division,Damage to property and to the environment  offences,251.0
2007Q3,Mayo Garda Division,Dangerous or negligent acts,356.0
2007Q3,Mayo Garda Division,"Fraud, deception and related offences",28.0
2007Q3,Mayo Garda Division,Homicide & related offences,0.0
2007Q3,Mayo Garda Division,Kidnapping and related offences,0.0
2007Q3,Mayo Garda Division,"Offences against government, justice procedures and organisation of crime",13.0
2007Q3,Mayo Garda Division,Offences not elsewhere classified,20.0
2007Q3,Mayo Garda Division,Public order and other social code offences,371.0
2007Q3,Mayo Garda Division,Road and traffic offences,422.0
2007Q3,Mayo Garda Division,"Robbery, extortion and hijacking offences",9.0
2007Q3,Mayo Garda Division,Sexual offences,5.0
2007Q3,Mayo Garda Division,Theft and related offences,287.0
2007Q3,Mayo Garda Division,Weapons and explosives offences,9.0
2007Q4,Mayo Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",134.0
2007Q4,Mayo Garda Division,Burglary and related offences,114.0
2007Q4,Mayo Garda Division,Controlled drug offences,49.0
2007Q4,Mayo Garda Division,Damage to property and to the environment  offences,196.0
2007Q4,Mayo Garda Division,Dangerous or negligent acts,248.0
2007Q4,Mayo Garda Division,"Fraud, deception and related offences",32.0
2007Q4,Mayo Garda Division,Homicide & related offences,0.0
2007Q4,Mayo Garda Division,Kidnapping and related offences,1.0
2007Q4,Mayo Garda Division,"Offences against government, justice procedures and organisation of crime",21.0
2007Q4,Mayo Garda Division,Offences not elsewhere classified,9.0
2007Q4,Mayo Garda Division,Public order and other social code offences,307.0
2007Q4,Mayo Garda Division,Road and traffic offences,396.0
2007Q4,Mayo Garda Division,"Robbery, extortion and hijacking offences",4.0
2007Q4,Mayo Garda Division,Sexual offences,5.0
2007Q4,Mayo Garda Division,Theft and related offences,221.0
2007Q4,Mayo Garda Division,Weapons and explosives offences,11.0
2008Q1,Mayo Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",154.0
2008Q1,Mayo Garda Division,Burglary and related offences,101.0
2008Q1,Mayo Garda Division,Controlled drug offences,43.0
2008Q1,Mayo Garda Division,Damage to property and to the environment  offences,220.0
2008Q1,Mayo Garda Division,Dangerous or negligent acts,294.0
2008Q1,Mayo Garda Division,"Fraud, deception and related offences",27.0
2008Q1,Mayo Garda Division,Homicide & related offences,1.0
2008Q1,Mayo Garda Division,Kidnapping and related offences,0.0
2008Q1,Mayo Garda Division,"Offences against government, justice procedures and organisation of crime",13.0
2008Q1,Mayo Garda Division,Offences not elsewhere classified,22.0
2008Q1,Mayo Garda Division,Public order and other social code offences,305.0
2008Q1,Mayo Garda Division,Road and traffic offences,490.0
2008Q1,Mayo Garda Division,"Robbery, extortion and hijacking offences",4.0
2008Q1,Mayo Garda Division,Sexual offences,4.0
2008Q1,Mayo Garda Division,Theft and related offences,293.0
2008Q1,Mayo Garda Division,Weapons and explosives offences,15.0
2008Q2,Mayo Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",156.0
2008Q2,Mayo Garda Division,Burglary and related offences,87.0
2008Q2,Mayo Garda Division,Controlled drug offences,47.0
2008Q2,Mayo Garda Division,Damage to property and to the environment  offences,199.0
2008Q2,Mayo Garda Division,Dangerous or negligent acts,343.0
2008Q2,Mayo Garda Division,"Fraud, deception and related offences",33.0
2008Q2,Mayo Garda Division,Homicide & related offences,1.0
