Quarter,Garda Division,Type of Offence,VALUE
2004Q3,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",102.0
2004Q3,D.M.R. Western Garda Division,Offences not elsewhere classified,13.0
2004Q3,D.M.R. Western Garda Division,Public order and other social code offences,529.0
2004Q3,D.M.R. Western Garda Division,Road and traffic offences,1302.0
2004Q3,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",72.0
2004Q3,D.M.R. Western Garda Division,Sexual offences,29.0
2004Q3,D.M.R. Western Garda Division,Theft and related offences,1705.0
2004Q3,D.M.R. Western Garda Division,Weapons and explosives offences,65.0
2004Q4,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",152.0
2004Q4,D.M.R. Western Garda Division,Burglary and related offences,541.0
2004Q4,D.M.R. Western Garda Division,Controlled drug offences,108.0
2004Q4,D.M.R. Western Garda Division,Damage to property and to the environment  offences,910.0
2004Q4,D.M.R. Western Garda Division,Dangerous or negligent acts,292.0
2004Q4,D.M.R. Western Garda Division,"Fraud, deception and related offences",66.0
2004Q4,D.M.R. Western Garda Division,Homicide & related offences,3.0
2004Q4,D.M.R. Western Garda Division,Kidnapping and related offences,1.0
2004Q4,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",125.0
2004Q4,D.M.R. Western Garda Division,Offences not elsewhere classified,13.0
2004Q4,D.M.R. Western Garda Division,Public order and other social code offences,625.0
2004Q4,D.M.R. Western Garda Division,Road and traffic offences,1350.0
2004Q4,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",77.0
2004Q4,D.M.R. Western Garda Division,Sexual offences,14.0
2004Q4,D.M.R. Western Garda Division,Theft and related offences,1511.0
2004Q4,D.M.R. Western Garda Division,Weapons and explosives offences,55.0
2005Q1,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",178.0
2005Q1,D.M.R. Western Garda Division,Burglary and related offences,424.0
2005Q1,D.M.R. Western Garda Division,Controlled drug offences,152.0
2005Q1,D.M.R. Western Garda Division,Damage to property and to the environment  offences,913.0
2005Q1,D.M.R. Western Garda Division,Dangerous or negligent acts,286.0
2005Q1,D.M.R. Western Garda Division,"Fraud, deception and related offences",49.0
2005Q1,D.M.R. Western Garda Division,Homicide & related offences,0.0
2005Q1,D.M.R. Western Garda Division,Kidnapping and related offences,3.0
2005Q1,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",140.0
2005Q1,D.M.R. Western Garda Division,Offences not elsewhere classified,3.0
2005Q1,D.M.R. Western Garda Division,Public order and other social code offences,646.0
2005Q1,D.M.R. Western Garda Division,Road and traffic offences,1437.0
2005Q1,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",110.0
2005Q1,D.M.R. Western Garda Division,Sexual offences,32.0
2005Q1,D.M.R. Western Garda Division,Theft and related offences,1634.0
2005Q1,D.M.R. Western Garda Division,Weapons and explosives offences,62.0
2005Q2,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",174.0
2005Q2,D.M.R. Western Garda Division,Burglary and related offences,369.0
2005Q2,D.M.R. Western Garda Division,Controlled drug offences,174.0
2005Q2,D.M.R. Western Garda Division,Damage to property and to the environment  offences,952.0
2005Q2,D.M.R. Western Garda Division,Dangerous or negligent acts,325.0
2005Q2,D.M.R. Western Garda Division,"Fraud, deception and related offences",58.0
2005Q2,D.M.R. Western Garda Division,Homicide & related offences,4.0
2005Q2,D.M.R. Western Garda Division,Kidnapping and related offences,3.0
2005Q2,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",181.0
2005Q2,D.M.R. Western Garda Division,Offences not elsewhere classified,10.0
2005Q2,D.M.R. Western Garda Division,Public order and other social code offences,728.0
2005Q2,D.M.R. Western Garda Division,Road and traffic offences,2169.0
2005Q2,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",68.0
2005Q2,D.M.R. Western Garda Division,Sexual offences,23.0
2005Q2,D.M.R. Western Garda Division,Theft and related offences,1657.0
2005Q2,D.M.R. Western Garda Division,Weapons and explosives offences,80.0
2005Q3,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",186.0
2005Q3,D.M.R. Western Garda Division,Burglary and related offences,305.0
2005Q3,D.M.R. Western Garda Division,Controlled drug offences,192.0
2005Q3,D.M.R. Western Garda Division,Damage to property and to the environment  offences,905.0
2005Q3,D.M.R. Western Garda Division,Dangerous or negligent acts,356.0
2005Q3,D.M.R. Western Garda Division,"Fraud, deception and related offences",51.0
2005Q3,D.M.R. Western Garda Division,Homicide & related offences,4.0
2005Q3,D.M.R. Western Garda Division,Kidnapping and related offences,2.0
2005Q3,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",176.0
2005Q3,D.M.R. Western Garda Division,Offences not elsewhere classified,28.0
2005Q3,D.M.R. Western Garda Division,Public order and other social code offences,980.0
2005Q3,D.M.R. Western Garda Division,Road and traffic offences,2135.0
2005Q3,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",82.0
