Year,Garda Division,Type of Offence,VALUE
2013,D.M.R. Western Garda Division,Controlled drug offences,1938.0
2013,D.M.R. Western Garda Division,Damage to property and to the environment  offences,2868.0
2013,D.M.R. Western Garda Division,Dangerous or negligent acts,3822.0
2013,D.M.R. Western Garda Division,"Fraud, deception and related offences",450.0
2013,D.M.R. Western Garda Division,Homicide & related offences,10.0
2013,D.M.R. Western Garda Division,Kidnapping and related offences,7.0
2013,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",656.0
2013,D.M.R. Western Garda Division,Offences not elsewhere classified,74.0
2013,D.M.R. Western Garda Division,Public order and other social code offences,1805.0
2013,D.M.R. Western Garda Division,Road and traffic offences,7482.0
2013,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",419.0
2013,D.M.R. Western Garda Division,Sexual offences,134.0
2013,D.M.R. Western Garda Division,Theft and related offences,7470.0
2013,D.M.R. Western Garda Division,Weapons and explosives offences,318.0
2014,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",859.0
2014,D.M.R. Western Garda Division,Burglary and related offences,2473.0
2014,D.M.R. Western Garda Division,Controlled drug offences,1759.0
2014,D.M.R. Western Garda Division,Damage to property and to the environment  offences,2875.0
2014,D.M.R. Western Garda Division,Dangerous or negligent acts,3495.0
2014,D.M.R. Western Garda Division,"Fraud, deception and related offences",509.0
2014,D.M.R. Western Garda Division,Homicide & related offences,9.0
2014,D.M.R. Western Garda Division,Kidnapping and related offences,9.0
2014,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",661.0
2014,D.M.R. Western Garda Division,Offences not elsewhere classified,70.0
2014,D.M.R. Western Garda Division,Public order and other social code offences,1526.0
2014,D.M.R. Western Garda Division,Road and traffic offences,6573.0
2014,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",448.0
2014,D.M.R. Western Garda Division,Sexual offences,141.0
2014,D.M.R. Western Garda Division,Theft and related offences,7639.0
2014,D.M.R. Western Garda Division,Weapons and explosives offences,260.0
2015,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",837.0
2015,D.M.R. Western Garda Division,Burglary and related offences,2404.0
2015,D.M.R. Western Garda Division,Controlled drug offences,1468.0
2015,D.M.R. Western Garda Division,Damage to property and to the environment  offences,2522.0
2015,D.M.R. Western Garda Division,Dangerous or negligent acts,4414.0
2015,D.M.R. Western Garda Division,"Fraud, deception and related offences",407.0
2015,D.M.R. Western Garda Division,Homicide & related offences,8.0
2015,D.M.R. Western Garda Division,Kidnapping and related offences,18.0
2015,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",767.0
2015,D.M.R. Western Garda Division,Offences not elsewhere classified,72.0
2015,D.M.R. Western Garda Division,Public order and other social code offences,1278.0
2015,D.M.R. Western Garda Division,Road and traffic offences,5787.0
2015,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",387.0
2015,D.M.R. Western Garda Division,Sexual offences,163.0
2015,D.M.R. Western Garda Division,Theft and related offences,6527.0
2015,D.M.R. Western Garda Division,Weapons and explosives offences,281.0
2016,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",1153.0
2016,D.M.R. Western Garda Division,Burglary and related offences,1661.0
2016,D.M.R. Western Garda Division,Controlled drug offences,1457.0
2016,D.M.R. Western Garda Division,Damage to property and to the environment  offences,2252.0
2016,D.M.R. Western Garda Division,Dangerous or negligent acts,2655.0
2016,D.M.R. Western Garda Division,"Fraud, deception and related offences",429.0
2016,D.M.R. Western Garda Division,Homicide & related offences,10.0
2016,D.M.R. Western Garda Division,Kidnapping and related offences,16.0
2016,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",755.0
2016,D.M.R. Western Garda Division,Offences not elsewhere classified,53.0
2016,D.M.R. Western Garda Division,Public order and other social code offences,1144.0
2016,D.M.R. Western Garda Division,Road and traffic offences,5599.0
2016,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",355.0
2016,D.M.R. Western Garda Division,Sexual offences,183.0
2016,D.M.R. Western Garda Division,Theft and related offences,5836.0
2016,D.M.R. Western Garda Division,Weapons and explosives offences,216.0
2017,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",1160.0
2017,D.M.R. Western Garda Division,Burglary and related offences,1553.0
2017,D.M.R. Western Garda Division,Controlled drug offences,1384.0
2017,D.M.R. Western Garda Division,Damage to property and to the environment  offences,2100.0
2017,D.M.R. Western Garda Division,Dangerous or negligent acts,2088.0
2017,D.M.R. Western Garda Division,"Fraud, deception and related offences",464.0
2017,D.M.R. Western Garda Division,Homicide & related offences,4.0
2017,D.M.R. Western Garda Division,Kidnapping and related offences,9.0
2017,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",1174.0
2017,D.M.R. Western Garda Division,Offences not elsewhere classified,72.0
2017,D.M.R. Western Garda Division,Public order and other social code offences,1204.0
2017,D.M.R. Western Garda Division,Road and traffic offences,5519.0
2017,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",371.0
2017,D.M.R. Western Garda Division,Sexual offences,189.0
2017,D.M.R. Western Garda Division,Theft and related offences,6544.0
2017,D.M.R. Western Garda Division,Weapons and explosives offences,235.0
2018,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",1374.0
2018,D.M.R. Western Garda Division,Burglary and related offences,1533.0
2018,D.M.R. Western Garda Division,Controlled drug offences,1697.0
2018,D.M.R. Western Garda Division,Damage to property and to the environment  offences,1779.0
2018,D.M.R. Western Garda Division,Dangerous or negligent acts,1276.0
2018,D.M.R. Western Garda Division,"Fraud, deception and related offences",535.0
2018,D.M.R. Western Garda Division,Homicide & related offences,8.0
2018,D.M.R. Western Garda Division,Kidnapping and related offences,12.0
2018,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",1762.0
2018,D.M.R. Western Garda Division,Offences not elsewhere classified,73.0
2018,D.M.R. Western Garda Division,Public order and other social code offences,1317.0
2018,D.M.R. Western Garda Division,Road and traffic offences,6122.0
2018,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",354.0
2018,D.M.R. Western Garda Division,Sexual offences,231.0
2018,D.M.R. Western Garda Division,Theft and related offences,5937.0
2018,D.M.R. Western Garda Division,Weapons and explosives offences,225.0
2019,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",1613.0
2019,D.M.R. Western Garda Division,Burglary and related offences,1816.0
2019,D.M.R. Western Garda Division,Controlled drug offences,2167.0
2019,D.M.R. Western Garda Division,Damage to property and to the environment  offences,1986.0
2019,D.M.R. Western Garda Division,Dangerous or negligent acts,1553.0
2019,D.M.R. Western Garda Division,"Fraud, deception and related offences",712.0
2019,D.M.R. Western Garda Division,Homicide & related offences,10.0
2019,D.M.R. Western Garda Division,Kidnapping and related offences,12.0
2019,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",1892.0
2019,D.M.R. Western Garda Division,Offences not elsewhere classified,124.0
2019,D.M.R. Western Garda Division,Public order and other social code offences,1493.0
2019,D.M.R. Western Garda Division,Road and traffic offences,6107.0
