Quarter,Garda Division,Type of Offence,VALUE
2004Q3,D.M.R. Eastern Garda Division,Dangerous or negligent acts,81.0
2004Q3,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",33.0
2004Q3,D.M.R. Eastern Garda Division,Homicide & related offences,1.0
2004Q3,D.M.R. Eastern Garda Division,Kidnapping and related offences,1.0
2004Q3,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",29.0
2004Q3,D.M.R. Eastern Garda Division,Offences not elsewhere classified,5.0
2004Q3,D.M.R. Eastern Garda Division,Public order and other social code offences,420.0
2004Q3,D.M.R. Eastern Garda Division,Road and traffic offences,492.0
2004Q3,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",26.0
2004Q3,D.M.R. Eastern Garda Division,Sexual offences,8.0
2004Q3,D.M.R. Eastern Garda Division,Theft and related offences,767.0
2004Q3,D.M.R. Eastern Garda Division,Weapons and explosives offences,8.0
2004Q4,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",94.0
2004Q4,D.M.R. Eastern Garda Division,Burglary and related offences,471.0
2004Q4,D.M.R. Eastern Garda Division,Controlled drug offences,100.0
2004Q4,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,422.0
2004Q4,D.M.R. Eastern Garda Division,Dangerous or negligent acts,80.0
2004Q4,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",11.0
2004Q4,D.M.R. Eastern Garda Division,Homicide & related offences,0.0
2004Q4,D.M.R. Eastern Garda Division,Kidnapping and related offences,0.0
2004Q4,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",26.0
2004Q4,D.M.R. Eastern Garda Division,Offences not elsewhere classified,7.0
2004Q4,D.M.R. Eastern Garda Division,Public order and other social code offences,377.0
2004Q4,D.M.R. Eastern Garda Division,Road and traffic offences,626.0
2004Q4,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",35.0
2004Q4,D.M.R. Eastern Garda Division,Sexual offences,8.0
2004Q4,D.M.R. Eastern Garda Division,Theft and related offences,796.0
2004Q4,D.M.R. Eastern Garda Division,Weapons and explosives offences,10.0
2005Q1,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",75.0
2005Q1,D.M.R. Eastern Garda Division,Burglary and related offences,421.0
2005Q1,D.M.R. Eastern Garda Division,Controlled drug offences,136.0
2005Q1,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,449.0
2005Q1,D.M.R. Eastern Garda Division,Dangerous or negligent acts,72.0
2005Q1,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",27.0
2005Q1,D.M.R. Eastern Garda Division,Homicide & related offences,0.0
2005Q1,D.M.R. Eastern Garda Division,Kidnapping and related offences,0.0
2005Q1,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",42.0
2005Q1,D.M.R. Eastern Garda Division,Offences not elsewhere classified,5.0
2005Q1,D.M.R. Eastern Garda Division,Public order and other social code offences,323.0
2005Q1,D.M.R. Eastern Garda Division,Road and traffic offences,653.0
2005Q1,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",31.0
2005Q1,D.M.R. Eastern Garda Division,Sexual offences,8.0
2005Q1,D.M.R. Eastern Garda Division,Theft and related offences,714.0
2005Q1,D.M.R. Eastern Garda Division,Weapons and explosives offences,12.0
2005Q2,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",96.0
