Division,Crime,SPRING,SUMMER,AUTUMN,WINTER,Cluster
Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",0,0,0,0,0
Kilkenny-Carlow Garda Division,Homicide & related offences,0,0,0,0,0
Kilkenny-Carlow Garda Division,Kidnapping and related offences,0,0,0,0,0
Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
Kilkenny-Carlow Garda Division,Offences not elsewhere classified,0,0,0,0,0
Kilkenny-Carlow Garda Division,Public order and other social code offences,68,60,96,74,0
Kilkenny-Carlow Garda Division,Road and traffic offences,732,760,600,688,1
Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
Kilkenny-Carlow Garda Division,Sexual offences,0,0,0,0,0
Kilkenny-Carlow Garda Division,Theft and related offences,406,382,450,382,2
Kilkenny-Carlow Garda Division,Weapons and explosives offences,0,0,0,0,0
Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
Laois-Offaly Garda Division,Burglary and related offences,0,0,0,0,0
Laois-Offaly Garda Division,Controlled drug offences,0,10,10,0,0
Laois-Offaly Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
Laois-Offaly Garda Division,Dangerous or negligent acts,76,74,132,88,0
Laois-Offaly Garda Division,"Fraud, deception and related offences",0,0,0,0,0
Laois-Offaly Garda Division,Homicide & related offences,0,0,0,0,0
Laois-Offaly Garda Division,Kidnapping and related offences,0,0,0,0,0
Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
Laois-Offaly Garda Division,Offences not elsewhere classified,0,0,0,0,0
Laois-Offaly Garda Division,Public order and other social code offences,68,60,96,74,0
Laois-Offaly Garda Division,Road and traffic offences,732,760,600,688,1
Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
Laois-Offaly Garda Division,Sexual offences,0,0,0,0,0
Laois-Offaly Garda Division,Theft and related offences,406,382,450,382,2
Laois-Offaly Garda Division,Weapons and explosives offences,0,0,0,0,0
Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
Limerick Garda Division,Burglary and related offences,0,0,0,0,0
Limerick Garda Division,Controlled drug offences,0,10,10,0,0
Limerick Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
Limerick Garda Division,Dangerous or negligent acts,76,74,132,88,0
Limerick Garda Division,"Fraud, deception and related offences",0,0,0,0,0
Limerick Garda Division,Homicide & related offences,0,0,0,0,0
Limerick Garda Division,Kidnapping and related offences,0,0,0,0,0
Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
Limerick Garda Division,Offences not elsewhere classified,0,0,0,0,0
Limerick Garda Division,Public order and other social code offences,68,60,96,74,0
Limerick Garda Division,Road and traffic offences,732,760,600,688,1
Limerick Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
Limerick Garda Division,Sexual offences,0,0,0,0,0
Limerick Garda Division,Theft and related offences,406,382,450,382,2
Limerick Garda Division,Weapons and explosives offences,0,0,0,0,0
Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
Louth Garda Division,Burglary and related offences,0,0,0,0,0
Louth Garda Division,Controlled drug offences,0,10,10,0,0
Louth Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
Louth Garda Division,Dangerous or negligent acts,76,74,132,88,0
Louth Garda Division,"Fraud, deception and related offences",0,0,0,0,0
Louth Garda Division,Homicide & related offences,0,0,0,0,0
Louth Garda Division,Kidnapping and related offences,0,0,0,0,0
Louth Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
Louth Garda Division,Offences not elsewhere classified,0,0,0,0,0
Louth Garda Division,Public order and other social code offences,68,60,96,74,0
Louth Garda Division,Road and traffic offences,732,760,600,688,1
Louth Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
Louth Garda Division,Sexual offences,0,0,0,0,0
Louth Garda Division,Theft and related offences,406,382,450,382,2
Louth Garda Division,Weapons and explosives offences,0,0,0,0,0
Mayo Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
