,Division,Crime,SPRING,SUMMER,AUTUMN,WINTER
337,Roscommon-Longford Garda Division,Burglary and related offences,0,0,0,0
338,Roscommon-Longford Garda Division,Controlled drug offences,0,10,10,0
339,Roscommon-Longford Garda Division,Damage to property and to the environment  offences,4,2,0,0
340,Roscommon-Longford Garda Division,Dangerous or negligent acts,76,74,132,88
341,Roscommon-Longford Garda Division,"Fraud, deception and related offences",0,0,0,0
342,Roscommon-Longford Garda Division,Homicide & related offences,0,0,0,0
343,Roscommon-Longford Garda Division,Kidnapping and related offences,0,0,0,0
344,Roscommon-Longford Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
345,Roscommon-Longford Garda Division,Offences not elsewhere classified,0,0,0,0
346,Roscommon-Longford Garda Division,Public order and other social code offences,68,60,96,74
347,Roscommon-Longford Garda Division,Road and traffic offences,732,760,600,688
348,Roscommon-Longford Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
349,Roscommon-Longford Garda Division,Sexual offences,0,0,0,0
350,Roscommon-Longford Garda Division,Theft and related offences,406,382,450,382
351,Roscommon-Longford Garda Division,Weapons and explosives offences,0,0,0,0
352,Sligo-Leitrim Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
353,Sligo-Leitrim Garda Division,Burglary and related offences,0,0,0,0
354,Sligo-Leitrim Garda Division,Controlled drug offences,0,10,10,0
355,Sligo-Leitrim Garda Division,Damage to property and to the environment  offences,4,2,0,0
356,Sligo-Leitrim Garda Division,Dangerous or negligent acts,76,74,132,88
357,Sligo-Leitrim Garda Division,"Fraud, deception and related offences",0,0,0,0
358,Sligo-Leitrim Garda Division,Homicide & related offences,0,0,0,0
359,Sligo-Leitrim Garda Division,Kidnapping and related offences,0,0,0,0
360,Sligo-Leitrim Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
361,Sligo-Leitrim Garda Division,Offences not elsewhere classified,0,0,0,0
362,Sligo-Leitrim Garda Division,Public order and other social code offences,68,60,96,74
363,Sligo-Leitrim Garda Division,Road and traffic offences,732,760,600,688
364,Sligo-Leitrim Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
365,Sligo-Leitrim Garda Division,Sexual offences,0,0,0,0
366,Sligo-Leitrim Garda Division,Theft and related offences,406,382,450,382
367,Sligo-Leitrim Garda Division,Weapons and explosives offences,0,0,0,0
368,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
369,Tipperary Garda Division,Burglary and related offences,0,0,0,0
370,Tipperary Garda Division,Controlled drug offences,0,10,10,0
371,Tipperary Garda Division,Damage to property and to the environment  offences,4,2,0,0
372,Tipperary Garda Division,Dangerous or negligent acts,76,74,132,88
373,Tipperary Garda Division,"Fraud, deception and related offences",0,0,0,0
374,Tipperary Garda Division,Homicide & related offences,0,0,0,0
375,Tipperary Garda Division,Kidnapping and related offences,0,0,0,0
376,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
377,Tipperary Garda Division,Offences not elsewhere classified,0,0,0,0
378,Tipperary Garda Division,Public order and other social code offences,68,60,96,74
379,Tipperary Garda Division,Road and traffic offences,732,760,600,688
380,Tipperary Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
381,Tipperary Garda Division,Sexual offences,0,0,0,0
382,Tipperary Garda Division,Theft and related offences,406,382,450,382
383,Tipperary Garda Division,Weapons and explosives offences,0,0,0,0
384,Waterford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
385,Waterford Garda Division,Burglary and related offences,0,0,0,0
386,Waterford Garda Division,Controlled drug offences,0,10,10,0
387,Waterford Garda Division,Damage to property and to the environment  offences,4,2,0,0
388,Waterford Garda Division,Dangerous or negligent acts,76,74,132,88
389,Waterford Garda Division,"Fraud, deception and related offences",0,0,0,0
390,Waterford Garda Division,Homicide & related offences,0,0,0,0
391,Waterford Garda Division,Kidnapping and related offences,0,0,0,0
392,Waterford Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0
393,Waterford Garda Division,Offences not elsewhere classified,0,0,0,0
394,Waterford Garda Division,Public order and other social code offences,68,60,96,74
395,Waterford Garda Division,Road and traffic offences,732,760,600,688
396,Waterford Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0
397,Waterford Garda Division,Sexual offences,0,0,0,0
398,Waterford Garda Division,Theft and related offences,406,382,450,382
399,Waterford Garda Division,Weapons and explosives offences,0,0,0,0
400,Westmeath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0
401,Westmeath Garda Division,Burglary and related offences,0,0,0,0
402,Westmeath Garda Division,Controlled drug offences,0,10,10,0
403,Westmeath Garda Division,Damage to property and to the environment  offences,4,2,0,0
