Quarter,Garda Division,Type of Offence,VALUE
2005Q3,Limerick Garda Division,Burglary and related offences,418.0
2005Q3,Limerick Garda Division,Controlled drug offences,193.0
2005Q3,Limerick Garda Division,Damage to property and to the environment  offences,662.0
2005Q3,Limerick Garda Division,Dangerous or negligent acts,401.0
2005Q3,Limerick Garda Division,"Fraud, deception and related offences",61.0
2005Q3,Limerick Garda Division,Homicide & related offences,2.0
2005Q3,Limerick Garda Division,Kidnapping and related offences,2.0
2005Q3,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",46.0
2005Q3,Limerick Garda Division,Offences not elsewhere classified,24.0
2005Q3,Limerick Garda Division,Public order and other social code offences,604.0
2005Q3,Limerick Garda Division,Road and traffic offences,1099.0
2005Q3,Limerick Garda Division,"Robbery, extortion and hijacking offences",22.0
2005Q3,Limerick Garda Division,Sexual offences,23.0
2005Q3,Limerick Garda Division,Theft and related offences,1141.0
2005Q3,Limerick Garda Division,Weapons and explosives offences,69.0
2005Q4,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",210.0
2005Q4,Limerick Garda Division,Burglary and related offences,355.0
2005Q4,Limerick Garda Division,Controlled drug offences,195.0
2005Q4,Limerick Garda Division,Damage to property and to the environment  offences,785.0
2005Q4,Limerick Garda Division,Dangerous or negligent acts,414.0
2005Q4,Limerick Garda Division,"Fraud, deception and related offences",44.0
2005Q4,Limerick Garda Division,Homicide & related offences,3.0
2005Q4,Limerick Garda Division,Kidnapping and related offences,0.0
2005Q4,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",48.0
2005Q4,Limerick Garda Division,Offences not elsewhere classified,9.0
2005Q4,Limerick Garda Division,Public order and other social code offences,613.0
2005Q4,Limerick Garda Division,Road and traffic offences,1256.0
2005Q4,Limerick Garda Division,"Robbery, extortion and hijacking offences",25.0
2005Q4,Limerick Garda Division,Sexual offences,7.0
2005Q4,Limerick Garda Division,Theft and related offences,1155.0
2005Q4,Limerick Garda Division,Weapons and explosives offences,76.0
2006Q1,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",220.0
2006Q1,Limerick Garda Division,Burglary and related offences,295.0
2006Q1,Limerick Garda Division,Controlled drug offences,181.0
2006Q1,Limerick Garda Division,Damage to property and to the environment  offences,846.0
2006Q1,Limerick Garda Division,Dangerous or negligent acts,425.0
2006Q1,Limerick Garda Division,"Fraud, deception and related offences",40.0
2006Q1,Limerick Garda Division,Homicide & related offences,1.0
2006Q1,Limerick Garda Division,Kidnapping and related offences,1.0
2006Q1,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",84.0
2006Q1,Limerick Garda Division,Offences not elsewhere classified,13.0
2006Q1,Limerick Garda Division,Public order and other social code offences,528.0
2006Q1,Limerick Garda Division,Road and traffic offences,1291.0
2006Q1,Limerick Garda Division,"Robbery, extortion and hijacking offences",14.0
2006Q1,Limerick Garda Division,Sexual offences,20.0
2006Q1,Limerick Garda Division,Theft and related offences,1346.0
2006Q1,Limerick Garda Division,Weapons and explosives offences,60.0
2006Q2,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",201.0
2006Q2,Limerick Garda Division,Burglary and related offences,324.0
2006Q2,Limerick Garda Division,Controlled drug offences,162.0
2006Q2,Limerick Garda Division,Damage to property and to the environment  offences,734.0
2006Q2,Limerick Garda Division,Dangerous or negligent acts,559.0
2006Q2,Limerick Garda Division,"Fraud, deception and related offences",53.0
2006Q2,Limerick Garda Division,Homicide & related offences,3.0
2006Q2,Limerick Garda Division,Kidnapping and related offences,2.0
2006Q2,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",51.0
2006Q2,Limerick Garda Division,Offences not elsewhere classified,11.0
2006Q2,Limerick Garda Division,Public order and other social code offences,543.0
2006Q2,Limerick Garda Division,Road and traffic offences,1951.0
2006Q2,Limerick Garda Division,"Robbery, extortion and hijacking offences",36.0
2006Q2,Limerick Garda Division,Sexual offences,12.0
2006Q2,Limerick Garda Division,Theft and related offences,1278.0
2006Q2,Limerick Garda Division,Weapons and explosives offences,57.0
2006Q3,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",209.0
2006Q3,Limerick Garda Division,Burglary and related offences,330.0
2006Q3,Limerick Garda Division,Controlled drug offences,104.0
2006Q3,Limerick Garda Division,Damage to property and to the environment  offences,718.0
2006Q3,Limerick Garda Division,Dangerous or negligent acts,574.0
2006Q3,Limerick Garda Division,"Fraud, deception and related offences",35.0
2006Q3,Limerick Garda Division,Homicide & related offences,3.0
2006Q3,Limerick Garda Division,Kidnapping and related offences,1.0
2006Q3,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",64.0
2006Q3,Limerick Garda Division,Offences not elsewhere classified,13.0
2006Q3,Limerick Garda Division,Public order and other social code offences,674.0
2006Q3,Limerick Garda Division,Road and traffic offences,1702.0
2006Q3,Limerick Garda Division,"Robbery, extortion and hijacking offences",17.0
2006Q3,Limerick Garda Division,Sexual offences,11.0
2006Q3,Limerick Garda Division,Theft and related offences,1125.0
2006Q3,Limerick Garda Division,Weapons and explosives offences,80.0
