Year,Garda Division,Type of Offence,VALUE
2016,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",1245.0
2016,Limerick Garda Division,Offences not elsewhere classified,184.0
2016,Limerick Garda Division,Public order and other social code offences,1348.0
2016,Limerick Garda Division,Road and traffic offences,5883.0
2016,Limerick Garda Division,"Robbery, extortion and hijacking offences",67.0
2016,Limerick Garda Division,Sexual offences,118.0
2016,Limerick Garda Division,Theft and related offences,2734.0
2016,Limerick Garda Division,Weapons and explosives offences,120.0
2017,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",956.0
2017,Limerick Garda Division,Burglary and related offences,819.0
2017,Limerick Garda Division,Controlled drug offences,778.0
2017,Limerick Garda Division,Damage to property and to the environment  offences,1291.0
2017,Limerick Garda Division,Dangerous or negligent acts,2284.0
2017,Limerick Garda Division,"Fraud, deception and related offences",283.0
2017,Limerick Garda Division,Homicide & related offences,4.0
2017,Limerick Garda Division,Kidnapping and related offences,8.0
2017,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",1167.0
2017,Limerick Garda Division,Offences not elsewhere classified,206.0
2017,Limerick Garda Division,Public order and other social code offences,1274.0
2017,Limerick Garda Division,Road and traffic offences,5539.0
2017,Limerick Garda Division,"Robbery, extortion and hijacking offences",75.0
2017,Limerick Garda Division,Sexual offences,128.0
2017,Limerick Garda Division,Theft and related offences,3142.0
2017,Limerick Garda Division,Weapons and explosives offences,119.0
2018,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",938.0
2018,Limerick Garda Division,Burglary and related offences,937.0
2018,Limerick Garda Division,Controlled drug offences,630.0
2018,Limerick Garda Division,Damage to property and to the environment  offences,1305.0
2018,Limerick Garda Division,Dangerous or negligent acts,2398.0
2018,Limerick Garda Division,"Fraud, deception and related offences",235.0
2018,Limerick Garda Division,Homicide & related offences,5.0
2018,Limerick Garda Division,Kidnapping and related offences,9.0
2018,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",1388.0
2018,Limerick Garda Division,Offences not elsewhere classified,210.0
2018,Limerick Garda Division,Public order and other social code offences,1394.0
2018,Limerick Garda Division,Road and traffic offences,4988.0
2018,Limerick Garda Division,"Robbery, extortion and hijacking offences",80.0
2018,Limerick Garda Division,Sexual offences,135.0
2018,Limerick Garda Division,Theft and related offences,3222.0
2018,Limerick Garda Division,Weapons and explosives offences,122.0
2019,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",952.0
2019,Limerick Garda Division,Burglary and related offences,810.0
2019,Limerick Garda Division,Controlled drug offences,781.0
2019,Limerick Garda Division,Damage to property and to the environment  offences,1105.0
2019,Limerick Garda Division,Dangerous or negligent acts,2191.0
2019,Limerick Garda Division,"Fraud, deception and related offences",302.0
2019,Limerick Garda Division,Homicide & related offences,4.0
2019,Limerick Garda Division,Kidnapping and related offences,12.0
2019,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",1103.0
2019,Limerick Garda Division,Offences not elsewhere classified,130.0
2019,Limerick Garda Division,Public order and other social code offences,1226.0
2019,Limerick Garda Division,Road and traffic offences,4840.0
2019,Limerick Garda Division,"Robbery, extortion and hijacking offences",81.0
2019,Limerick Garda Division,Sexual offences,142.0
2019,Limerick Garda Division,Theft and related offences,2990.0
2019,Limerick Garda Division,Weapons and explosives offences,128.0
2020,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",785.0
2020,Limerick Garda Division,Burglary and related offences,576.0
2020,Limerick Garda Division,Controlled drug offences,876.0
2020,Limerick Garda Division,Damage to property and to the environment  offences,949.0
2020,Limerick Garda Division,Dangerous or negligent acts,1893.0
2020,Limerick Garda Division,"Fraud, deception and related offences",299.0
2020,Limerick Garda Division,Homicide & related offences,2.0
2020,Limerick Garda Division,Kidnapping and related offences,7.0
2020,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",962.0
2020,Limerick Garda Division,Offences not elsewhere classified,129.0
2020,Limerick Garda Division,Public order and other social code offences,1453.0
2020,Limerick Garda Division,Road and traffic offences,3267.0
2020,Limerick Garda Division,"Robbery, extortion and hijacking offences",57.0
2020,Limerick Garda Division,Sexual offences,133.0
2020,Limerick Garda Division,Theft and related offences,2689.0
2020,Limerick Garda Division,Weapons and explosives offences,130.0
2021,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",926.0
2021,Limerick Garda Division,Burglary and related offences,435.0
2021,Limerick Garda Division,Controlled drug offences,828.0
2021,Limerick Garda Division,Damage to property and to the environment  offences,1179.0
2021,Limerick Garda Division,Dangerous or negligent acts,1913.0
2021,Limerick Garda Division,"Fraud, deception and related offences",692.0
2021,Limerick Garda Division,Homicide & related offences,3.0
2021,Limerick Garda Division,Kidnapping and related offences,11.0
2021,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",981.0
2021,Limerick Garda Division,Offences not elsewhere classified,118.0
2021,Limerick Garda Division,Public order and other social code offences,1836.0
2021,Limerick Garda Division,Road and traffic offences,2660.0
2021,Limerick Garda Division,"Robbery, extortion and hijacking offences",44.0
2021,Limerick Garda Division,Sexual offences,152.0
2021,Limerick Garda Division,Theft and related offences,2757.0
2021,Limerick Garda Division,Weapons and explosives offences,130.0
2022,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",1120.0
2022,Limerick Garda Division,Burglary and related offences,430.0
2022,Limerick Garda Division,Controlled drug offences,518.0
2022,Limerick Garda Division,Damage to property and to the environment  offences,994.0
2022,Limerick Garda Division,Dangerous or negligent acts,1897.0
2022,Limerick Garda Division,"Fraud, deception and related offences",515.0
2022,Limerick Garda Division,Homicide & related offences,4.0
2022,Limerick Garda Division,Kidnapping and related offences,7.0
2022,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",925.0
2022,Limerick Garda Division,Offences not elsewhere classified,90.0
2022,Limerick Garda Division,Public order and other social code offences,1184.0
2022,Limerick Garda Division,Road and traffic offences,2513.0
2022,Limerick Garda Division,"Robbery, extortion and hijacking offences",75.0
2022,Limerick Garda Division,Sexual offences,163.0
2022,Limerick Garda Division,Theft and related offences,3594.0
2022,Limerick Garda Division,Weapons and explosives offences,98.0
2023,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",1111.0
2023,Limerick Garda Division,Burglary and related offences,463.0
2023,Limerick Garda Division,Controlled drug offences,770.0
2023,Limerick Garda Division,Damage to property and to the environment  offences,1259.0
2023,Limerick Garda Division,Dangerous or negligent acts,1652.0
2023,Limerick Garda Division,"Fraud, deception and related offences",203.0
2023,Limerick Garda Division,Homicide & related offences,3.0
2023,Limerick Garda Division,Kidnapping and related offences,10.0
2023,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",771.0
2023,Limerick Garda Division,Offences not elsewhere classified,101.0
2023,Limerick Garda Division,Public order and other social code offences,1193.0
2023,Limerick Garda Division,Road and traffic offences,2287.0
2023,Limerick Garda Division,"Robbery, extortion and hijacking offences",95.0
2023,Limerick Garda Division,Sexual offences,172.0
2023,Limerick Garda Division,Theft and related offences,3836.0
2023,Limerick Garda Division,Weapons and explosives offences,133.0
2024,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",1060.0
2024,Limerick Garda Division,Burglary and related offences,578.0
2024,Limerick Garda Division,Controlled drug offences,579.0
2024,Limerick Garda Division,Damage to property and to the environment  offences,1115.0
2024,Limerick Garda Division,Dangerous or negligent acts,1707.0
2024,Limerick Garda Division,"Fraud, deception and related offences",0.0
2024,Limerick Garda Division,Homicide & related offences,2.0
2024,Limerick Garda Division,Kidnapping and related offences,5.0
