Quarter,Garda Division,Type of Offence,VALUE
2005Q2,Waterford Garda Division,"Fraud, deception and related offences",16.0
2005Q2,Waterford Garda Division,Homicide & related offences,0.0
2005Q2,Waterford Garda Division,Kidnapping and related offences,0.0
2005Q2,Waterford Garda Division,"Offences against government, justice procedures and organisation of crime",79.0
2005Q2,Waterford Garda Division,Offences not elsewhere classified,1.0
2005Q2,Waterford Garda Division,Public order and other social code offences,489.0
2005Q2,Waterford Garda Division,Road and traffic offences,312.0
2005Q2,Waterford Garda Division,"Robbery, extortion and hijacking offences",9.0
2005Q2,Waterford Garda Division,Sexual offences,10.0
2005Q2,Waterford Garda Division,Theft and related offences,379.0
2005Q2,Waterford Garda Division,Weapons and explosives offences,33.0
2005Q3,Waterford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",134.0
2005Q3,Waterford Garda Division,Burglary and related offences,210.0
2005Q3,Waterford Garda Division,Controlled drug offences,176.0
2005Q3,Waterford Garda Division,Damage to property and to the environment  offences,292.0
2005Q3,Waterford Garda Division,Dangerous or negligent acts,192.0
2005Q3,Waterford Garda Division,"Fraud, deception and related offences",23.0
2005Q3,Waterford Garda Division,Homicide & related offences,2.0
2005Q3,Waterford Garda Division,Kidnapping and related offences,0.0
2005Q3,Waterford Garda Division,"Offences against government, justice procedures and organisation of crime",53.0
2005Q3,Waterford Garda Division,Offences not elsewhere classified,7.0
2005Q3,Waterford Garda Division,Public order and other social code offences,641.0
2005Q3,Waterford Garda Division,Road and traffic offences,308.0
2005Q3,Waterford Garda Division,"Robbery, extortion and hijacking offences",12.0
2005Q3,Waterford Garda Division,Sexual offences,18.0
2005Q3,Waterford Garda Division,Theft and related offences,566.0
2005Q3,Waterford Garda Division,Weapons and explosives offences,30.0
2005Q4,Waterford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",133.0
2005Q4,Waterford Garda Division,Burglary and related offences,241.0
2005Q4,Waterford Garda Division,Controlled drug offences,189.0
2005Q4,Waterford Garda Division,Damage to property and to the environment  offences,305.0
2005Q4,Waterford Garda Division,Dangerous or negligent acts,186.0
2005Q4,Waterford Garda Division,"Fraud, deception and related offences",22.0
2005Q4,Waterford Garda Division,Homicide & related offences,1.0
2005Q4,Waterford Garda Division,Kidnapping and related offences,0.0
2005Q4,Waterford Garda Division,"Offences against government, justice procedures and organisation of crime",80.0
2005Q4,Waterford Garda Division,Offences not elsewhere classified,1.0
2005Q4,Waterford Garda Division,Public order and other social code offences,548.0
2005Q4,Waterford Garda Division,Road and traffic offences,405.0
2005Q4,Waterford Garda Division,"Robbery, extortion and hijacking offences",10.0
2005Q4,Waterford Garda Division,Sexual offences,8.0
2005Q4,Waterford Garda Division,Theft and related offences,438.0
2005Q4,Waterford Garda Division,Weapons and explosives offences,19.0
2006Q1,Waterford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",139.0
2006Q1,Waterford Garda Division,Burglary and related offences,199.0
2006Q1,Waterford Garda Division,Controlled drug offences,150.0
2006Q1,Waterford Garda Division,Damage to property and to the environment  offences,296.0
2006Q1,Waterford Garda Division,Dangerous or negligent acts,297.0
2006Q1,Waterford Garda Division,"Fraud, deception and related offences",17.0
2006Q1,Waterford Garda Division,Homicide & related offences,2.0
2006Q1,Waterford Garda Division,Kidnapping and related offences,0.0
2006Q1,Waterford Garda Division,"Offences against government, justice procedures and organisation of crime",76.0
2006Q1,Waterford Garda Division,Offences not elsewhere classified,2.0
2006Q1,Waterford Garda Division,Public order and other social code offences,555.0
2006Q1,Waterford Garda Division,Road and traffic offences,409.0
2006Q1,Waterford Garda Division,"Robbery, extortion and hijacking offences",18.0
2006Q1,Waterford Garda Division,Sexual offences,22.0
2006Q1,Waterford Garda Division,Theft and related offences,525.0
2006Q1,Waterford Garda Division,Weapons and explosives offences,32.0
2006Q2,Waterford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",133.0
2006Q2,Waterford Garda Division,Burglary and related offences,144.0
2006Q2,Waterford Garda Division,Controlled drug offences,167.0
2006Q2,Waterford Garda Division,Damage to property and to the environment  offences,335.0
2006Q2,Waterford Garda Division,Dangerous or negligent acts,410.0
2006Q2,Waterford Garda Division,"Fraud, deception and related offences",13.0
2006Q2,Waterford Garda Division,Homicide & related offences,1.0
2006Q2,Waterford Garda Division,Kidnapping and related offences,2.0
2006Q2,Waterford Garda Division,"Offences against government, justice procedures and organisation of crime",101.0
2006Q2,Waterford Garda Division,Offences not elsewhere classified,9.0
2006Q2,Waterford Garda Division,Public order and other social code offences,582.0
2006Q2,Waterford Garda Division,Road and traffic offences,1151.0
2006Q2,Waterford Garda Division,"Robbery, extortion and hijacking offences",12.0
2006Q2,Waterford Garda Division,Sexual offences,16.0
2006Q2,Waterford Garda Division,Theft and related offences,501.0
2006Q2,Waterford Garda Division,Weapons and explosives offences,24.0
2006Q3,Waterford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",183.0
2006Q3,Waterford Garda Division,Burglary and related offences,204.0
2006Q3,Waterford Garda Division,Controlled drug offences,163.0
2006Q3,Waterford Garda Division,Damage to property and to the environment  offences,398.0
2006Q3,Waterford Garda Division,Dangerous or negligent acts,397.0
2006Q3,Waterford Garda Division,"Fraud, deception and related offences",21.0
2006Q3,Waterford Garda Division,Homicide & related offences,0.0
2006Q3,Waterford Garda Division,Kidnapping and related offences,0.0
2006Q3,Waterford Garda Division,"Offences against government, justice procedures and organisation of crime",75.0
2006Q3,Waterford Garda Division,Offences not elsewhere classified,5.0
2006Q3,Waterford Garda Division,Public order and other social code offences,712.0
2006Q3,Waterford Garda Division,Road and traffic offences,1162.0
2006Q3,Waterford Garda Division,"Robbery, extortion and hijacking offences",19.0
2006Q3,Waterford Garda Division,Sexual offences,24.0
2006Q3,Waterford Garda Division,Theft and related offences,591.0
2006Q3,Waterford Garda Division,Weapons and explosives offences,27.0
2006Q4,Waterford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",137.0
2006Q4,Waterford Garda Division,Burglary and related offences,165.0
2006Q4,Waterford Garda Division,Controlled drug offences,234.0
2006Q4,Waterford Garda Division,Damage to property and to the environment  offences,391.0
2006Q4,Waterford Garda Division,Dangerous or negligent acts,293.0
2006Q4,Waterford Garda Division,"Fraud, deception and related offences",15.0
2006Q4,Waterford Garda Division,Homicide & related offences,2.0
2006Q4,Waterford Garda Division,Kidnapping and related offences,1.0
2006Q4,Waterford Garda Division,"Offences against government, justice procedures and organisation of crime",94.0
2006Q4,Waterford Garda Division,Offences not elsewhere classified,11.0
2006Q4,Waterford Garda Division,Public order and other social code offences,623.0
2006Q4,Waterford Garda Division,Road and traffic offences,1198.0
2006Q4,Waterford Garda Division,"Robbery, extortion and hijacking offences",18.0
2006Q4,Waterford Garda Division,Sexual offences,14.0
2006Q4,Waterford Garda Division,Theft and related offences,466.0
2006Q4,Waterford Garda Division,Weapons and explosives offences,22.0
2007Q1,Waterford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",169.0
