Quarter,Garda Division,Type of Offence,VALUE
2004Q4,Kilkenny-Carlow Garda Division,Controlled drug offences,72.0
2004Q4,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,150.0
2004Q4,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,220.0
2004Q4,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",17.0
2004Q4,Kilkenny-Carlow Garda Division,Homicide & related offences,1.0
2004Q4,Kilkenny-Carlow Garda Division,Kidnapping and related offences,0.0
2004Q4,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",24.0
2004Q4,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,2.0
2004Q4,Kilkenny-Carlow Garda Division,Public order and other social code offences,376.0
2004Q4,Kilkenny-Carlow Garda Division,Road and traffic offences,339.0
2004Q4,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",11.0
2004Q4,Kilkenny-Carlow Garda Division,Sexual offences,14.0
2004Q4,Kilkenny-Carlow Garda Division,Theft and related offences,341.0
2004Q4,Kilkenny-Carlow Garda Division,Weapons and explosives offences,9.0
2005Q1,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",106.0
2005Q1,Kilkenny-Carlow Garda Division,Burglary and related offences,186.0
2005Q1,Kilkenny-Carlow Garda Division,Controlled drug offences,139.0
2005Q1,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,218.0
2005Q1,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,185.0
2005Q1,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",32.0
2005Q1,Kilkenny-Carlow Garda Division,Homicide & related offences,0.0
2005Q1,Kilkenny-Carlow Garda Division,Kidnapping and related offences,0.0
2005Q1,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",17.0
2005Q1,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,7.0
2005Q1,Kilkenny-Carlow Garda Division,Public order and other social code offences,350.0
2005Q1,Kilkenny-Carlow Garda Division,Road and traffic offences,374.0
2005Q1,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",9.0
2005Q1,Kilkenny-Carlow Garda Division,Sexual offences,15.0
2005Q1,Kilkenny-Carlow Garda Division,Theft and related offences,346.0
2005Q1,Kilkenny-Carlow Garda Division,Weapons and explosives offences,12.0
2005Q2,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",121.0
2005Q2,Kilkenny-Carlow Garda Division,Burglary and related offences,160.0
2005Q2,Kilkenny-Carlow Garda Division,Controlled drug offences,106.0
2005Q2,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,194.0
2005Q2,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,186.0
2005Q2,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",18.0
2005Q2,Kilkenny-Carlow Garda Division,Homicide & related offences,0.0
2005Q2,Kilkenny-Carlow Garda Division,Kidnapping and related offences,1.0
2005Q2,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",12.0
2005Q2,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,4.0
2005Q2,Kilkenny-Carlow Garda Division,Public order and other social code offences,335.0
2005Q2,Kilkenny-Carlow Garda Division,Road and traffic offences,387.0
2005Q2,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",8.0
2005Q2,Kilkenny-Carlow Garda Division,Sexual offences,20.0
2005Q2,Kilkenny-Carlow Garda Division,Theft and related offences,382.0
2005Q2,Kilkenny-Carlow Garda Division,Weapons and explosives offences,5.0
2005Q3,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",95.0
2005Q3,Kilkenny-Carlow Garda Division,Burglary and related offences,208.0
2005Q3,Kilkenny-Carlow Garda Division,Controlled drug offences,88.0
2005Q3,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,190.0
2005Q3,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,183.0
2005Q3,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",4.0
2005Q3,Kilkenny-Carlow Garda Division,Homicide & related offences,1.0
2005Q3,Kilkenny-Carlow Garda Division,Kidnapping and related offences,0.0
2005Q3,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",26.0
2005Q3,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,0.0
2005Q3,Kilkenny-Carlow Garda Division,Public order and other social code offences,320.0
2005Q3,Kilkenny-Carlow Garda Division,Road and traffic offences,404.0
2005Q3,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",11.0
2005Q3,Kilkenny-Carlow Garda Division,Sexual offences,11.0
2005Q3,Kilkenny-Carlow Garda Division,Theft and related offences,455.0
2005Q3,Kilkenny-Carlow Garda Division,Weapons and explosives offences,4.0
2005Q4,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",100.0
2005Q4,Kilkenny-Carlow Garda Division,Burglary and related offences,285.0
2005Q4,Kilkenny-Carlow Garda Division,Controlled drug offences,106.0
2005Q4,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,195.0
2005Q4,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,175.0
2005Q4,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",20.0
2005Q4,Kilkenny-Carlow Garda Division,Homicide & related offences,1.0
2005Q4,Kilkenny-Carlow Garda Division,Kidnapping and related offences,1.0
2005Q4,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",36.0
2005Q4,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,4.0
2005Q4,Kilkenny-Carlow Garda Division,Public order and other social code offences,333.0
2005Q4,Kilkenny-Carlow Garda Division,Road and traffic offences,358.0
2005Q4,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",10.0
