Quarter,Garda Division,Type of Offence,VALUE
2006Q2,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",124.0
2006Q2,D.M.R. North Central Garda Division,Burglary and related offences,285.0
2006Q2,D.M.R. North Central Garda Division,Controlled drug offences,196.0
2006Q2,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,450.0
2006Q2,D.M.R. North Central Garda Division,Dangerous or negligent acts,253.0
2006Q2,D.M.R. North Central Garda Division,"Fraud, deception and related offences",78.0
2006Q2,D.M.R. North Central Garda Division,Homicide & related offences,1.0
2006Q2,D.M.R. North Central Garda Division,Kidnapping and related offences,4.0
2006Q2,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",716.0
2006Q2,D.M.R. North Central Garda Division,Offences not elsewhere classified,30.0
2006Q2,D.M.R. North Central Garda Division,Public order and other social code offences,929.0
2006Q2,D.M.R. North Central Garda Division,Road and traffic offences,2186.0
2006Q2,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",66.0
2006Q2,D.M.R. North Central Garda Division,Sexual offences,16.0
2006Q2,D.M.R. North Central Garda Division,Theft and related offences,1676.0
2006Q2,D.M.R. North Central Garda Division,Weapons and explosives offences,76.0
2006Q3,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",160.0
2006Q3,D.M.R. North Central Garda Division,Burglary and related offences,252.0
2006Q3,D.M.R. North Central Garda Division,Controlled drug offences,210.0
2006Q3,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,393.0
2006Q3,D.M.R. North Central Garda Division,Dangerous or negligent acts,223.0
2006Q3,D.M.R. North Central Garda Division,"Fraud, deception and related offences",87.0
2006Q3,D.M.R. North Central Garda Division,Homicide & related offences,2.0
2006Q3,D.M.R. North Central Garda Division,Kidnapping and related offences,1.0
2006Q3,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",610.0
2006Q3,D.M.R. North Central Garda Division,Offences not elsewhere classified,27.0
2006Q3,D.M.R. North Central Garda Division,Public order and other social code offences,967.0
2006Q3,D.M.R. North Central Garda Division,Road and traffic offences,2430.0
2006Q3,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",76.0
2006Q3,D.M.R. North Central Garda Division,Sexual offences,19.0
2006Q3,D.M.R. North Central Garda Division,Theft and related offences,1696.0
2006Q3,D.M.R. North Central Garda Division,Weapons and explosives offences,91.0
2006Q4,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",167.0
2006Q4,D.M.R. North Central Garda Division,Burglary and related offences,273.0
2006Q4,D.M.R. North Central Garda Division,Controlled drug offences,203.0
2006Q4,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,433.0
2006Q4,D.M.R. North Central Garda Division,Dangerous or negligent acts,251.0
2006Q4,D.M.R. North Central Garda Division,"Fraud, deception and related offences",105.0
2006Q4,D.M.R. North Central Garda Division,Homicide & related offences,4.0
2006Q4,D.M.R. North Central Garda Division,Kidnapping and related offences,1.0
2006Q4,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",828.0
2006Q4,D.M.R. North Central Garda Division,Offences not elsewhere classified,27.0
2006Q4,D.M.R. North Central Garda Division,Public order and other social code offences,837.0
2006Q4,D.M.R. North Central Garda Division,Road and traffic offences,2676.0
2006Q4,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",71.0
2006Q4,D.M.R. North Central Garda Division,Sexual offences,16.0
2006Q4,D.M.R. North Central Garda Division,Theft and related offences,1580.0
2006Q4,D.M.R. North Central Garda Division,Weapons and explosives offences,104.0
2007Q1,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",190.0
2007Q1,D.M.R. North Central Garda Division,Burglary and related offences,231.0
2007Q1,D.M.R. North Central Garda Division,Controlled drug offences,177.0
2007Q1,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,416.0
2007Q1,D.M.R. North Central Garda Division,Dangerous or negligent acts,332.0
2007Q1,D.M.R. North Central Garda Division,"Fraud, deception and related offences",97.0
2007Q1,D.M.R. North Central Garda Division,Homicide & related offences,1.0
2007Q1,D.M.R. North Central Garda Division,Kidnapping and related offences,0.0
2007Q1,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",1119.0
2007Q1,D.M.R. North Central Garda Division,Offences not elsewhere classified,24.0
2007Q1,D.M.R. North Central Garda Division,Public order and other social code offences,794.0
2007Q1,D.M.R. North Central Garda Division,Road and traffic offences,2022.0
2007Q1,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",53.0
2007Q1,D.M.R. North Central Garda Division,Sexual offences,10.0
2007Q1,D.M.R. North Central Garda Division,Theft and related offences,1554.0
2007Q1,D.M.R. North Central Garda Division,Weapons and explosives offences,59.0
2007Q2,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",166.0
2007Q2,D.M.R. North Central Garda Division,Burglary and related offences,228.0
2007Q2,D.M.R. North Central Garda Division,Controlled drug offences,318.0
2007Q2,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,467.0
2007Q2,D.M.R. North Central Garda Division,Dangerous or negligent acts,406.0
2007Q2,D.M.R. North Central Garda Division,"Fraud, deception and related offences",108.0
2007Q2,D.M.R. North Central Garda Division,Homicide & related offences,2.0
2007Q2,D.M.R. North Central Garda Division,Kidnapping and related offences,0.0
2007Q2,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",949.0
2007Q2,D.M.R. North Central Garda Division,Offences not elsewhere classified,25.0
2007Q2,D.M.R. North Central Garda Division,Public order and other social code offences,743.0
2007Q2,D.M.R. North Central Garda Division,Road and traffic offences,2514.0
2007Q2,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",52.0
2007Q2,D.M.R. North Central Garda Division,Sexual offences,15.0
2007Q2,D.M.R. North Central Garda Division,Theft and related offences,1676.0
2007Q2,D.M.R. North Central Garda Division,Weapons and explosives offences,79.0
2007Q3,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",186.0
2007Q3,D.M.R. North Central Garda Division,Burglary and related offences,331.0
2007Q3,D.M.R. North Central Garda Division,Controlled drug offences,264.0
2007Q3,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,535.0
