Quarter,Garda Division,Type of Offence,VALUE
2004Q4,Tipperary Garda Division,"Robbery, extortion and hijacking offences",4.0
2004Q4,Tipperary Garda Division,Sexual offences,6.0
2004Q4,Tipperary Garda Division,Theft and related offences,270.0
2004Q4,Tipperary Garda Division,Weapons and explosives offences,25.0
2005Q1,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",107.0
2005Q1,Tipperary Garda Division,Burglary and related offences,180.0
2005Q1,Tipperary Garda Division,Controlled drug offences,85.0
2005Q1,Tipperary Garda Division,Damage to property and to the environment  offences,215.0
2005Q1,Tipperary Garda Division,Dangerous or negligent acts,268.0
2005Q1,Tipperary Garda Division,"Fraud, deception and related offences",23.0
2005Q1,Tipperary Garda Division,Homicide & related offences,0.0
2005Q1,Tipperary Garda Division,Kidnapping and related offences,0.0
2005Q1,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",42.0
2005Q1,Tipperary Garda Division,Offences not elsewhere classified,10.0
2005Q1,Tipperary Garda Division,Public order and other social code offences,527.0
2005Q1,Tipperary Garda Division,Road and traffic offences,486.0
2005Q1,Tipperary Garda Division,"Robbery, extortion and hijacking offences",2.0
2005Q1,Tipperary Garda Division,Sexual offences,15.0
2005Q1,Tipperary Garda Division,Theft and related offences,258.0
2005Q1,Tipperary Garda Division,Weapons and explosives offences,16.0
2005Q2,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",82.0
2005Q2,Tipperary Garda Division,Burglary and related offences,142.0
2005Q2,Tipperary Garda Division,Controlled drug offences,107.0
2005Q2,Tipperary Garda Division,Damage to property and to the environment  offences,167.0
2005Q2,Tipperary Garda Division,Dangerous or negligent acts,304.0
2005Q2,Tipperary Garda Division,"Fraud, deception and related offences",29.0
2005Q2,Tipperary Garda Division,Homicide & related offences,0.0
2005Q2,Tipperary Garda Division,Kidnapping and related offences,1.0
2005Q2,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",30.0
2005Q2,Tipperary Garda Division,Offences not elsewhere classified,7.0
2005Q2,Tipperary Garda Division,Public order and other social code offences,476.0
2005Q2,Tipperary Garda Division,Road and traffic offences,589.0
2005Q2,Tipperary Garda Division,"Robbery, extortion and hijacking offences",5.0
2005Q2,Tipperary Garda Division,Sexual offences,16.0
2005Q2,Tipperary Garda Division,Theft and related offences,245.0
2005Q2,Tipperary Garda Division,Weapons and explosives offences,12.0
2005Q3,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",137.0
2005Q3,Tipperary Garda Division,Burglary and related offences,153.0
2005Q3,Tipperary Garda Division,Controlled drug offences,91.0
2005Q3,Tipperary Garda Division,Damage to property and to the environment  offences,223.0
2005Q3,Tipperary Garda Division,Dangerous or negligent acts,376.0
2005Q3,Tipperary Garda Division,"Fraud, deception and related offences",21.0
2005Q3,Tipperary Garda Division,Homicide & related offences,0.0
2005Q3,Tipperary Garda Division,Kidnapping and related offences,0.0
2005Q3,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",20.0
2005Q3,Tipperary Garda Division,Offences not elsewhere classified,12.0
2005Q3,Tipperary Garda Division,Public order and other social code offences,521.0
2005Q3,Tipperary Garda Division,Road and traffic offences,449.0
2005Q3,Tipperary Garda Division,"Robbery, extortion and hijacking offences",7.0
2005Q3,Tipperary Garda Division,Sexual offences,22.0
2005Q3,Tipperary Garda Division,Theft and related offences,321.0
2005Q3,Tipperary Garda Division,Weapons and explosives offences,23.0
2005Q4,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",146.0
2005Q4,Tipperary Garda Division,Burglary and related offences,262.0
2005Q4,Tipperary Garda Division,Controlled drug offences,102.0
2005Q4,Tipperary Garda Division,Damage to property and to the environment  offences,219.0
2005Q4,Tipperary Garda Division,Dangerous or negligent acts,314.0
2005Q4,Tipperary Garda Division,"Fraud, deception and related offences",18.0
2005Q4,Tipperary Garda Division,Homicide & related offences,2.0
2005Q4,Tipperary Garda Division,Kidnapping and related offences,2.0
2005Q4,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",17.0
2005Q4,Tipperary Garda Division,Offences not elsewhere classified,7.0
2005Q4,Tipperary Garda Division,Public order and other social code offences,499.0
2005Q4,Tipperary Garda Division,Road and traffic offences,459.0
2005Q4,Tipperary Garda Division,"Robbery, extortion and hijacking offences",4.0
2005Q4,Tipperary Garda Division,Sexual offences,23.0
2005Q4,Tipperary Garda Division,Theft and related offences,358.0
2005Q4,Tipperary Garda Division,Weapons and explosives offences,25.0
2006Q1,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",97.0
2006Q1,Tipperary Garda Division,Burglary and related offences,195.0
2006Q1,Tipperary Garda Division,Controlled drug offences,110.0
2006Q1,Tipperary Garda Division,Damage to property and to the environment  offences,204.0
2006Q1,Tipperary Garda Division,Dangerous or negligent acts,436.0
2006Q1,Tipperary Garda Division,"Fraud, deception and related offences",3.0
2006Q1,Tipperary Garda Division,Homicide & related offences,0.0
2006Q1,Tipperary Garda Division,Kidnapping and related offences,1.0
2006Q1,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",40.0
2006Q1,Tipperary Garda Division,Offences not elsewhere classified,15.0
2006Q1,Tipperary Garda Division,Public order and other social code offences,488.0
2006Q1,Tipperary Garda Division,Road and traffic offences,418.0
2006Q1,Tipperary Garda Division,"Robbery, extortion and hijacking offences",4.0
2006Q1,Tipperary Garda Division,Sexual offences,30.0
2006Q1,Tipperary Garda Division,Theft and related offences,308.0
2006Q1,Tipperary Garda Division,Weapons and explosives offences,23.0
2006Q2,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",128.0
2006Q2,Tipperary Garda Division,Burglary and related offences,166.0
2006Q2,Tipperary Garda Division,Controlled drug offences,111.0
2006Q2,Tipperary Garda Division,Damage to property and to the environment  offences,283.0
2006Q2,Tipperary Garda Division,Dangerous or negligent acts,595.0
2006Q2,Tipperary Garda Division,"Fraud, deception and related offences",14.0
2006Q2,Tipperary Garda Division,Homicide & related offences,2.0
2006Q2,Tipperary Garda Division,Kidnapping and related offences,0.0
2006Q2,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",31.0
2006Q2,Tipperary Garda Division,Offences not elsewhere classified,12.0
2006Q2,Tipperary Garda Division,Public order and other social code offences,509.0
2006Q2,Tipperary Garda Division,Road and traffic offences,1074.0
2006Q2,Tipperary Garda Division,"Robbery, extortion and hijacking offences",1.0
2006Q2,Tipperary Garda Division,Sexual offences,10.0
2006Q2,Tipperary Garda Division,Theft and related offences,343.0
2006Q2,Tipperary Garda Division,Weapons and explosives offences,34.0
2006Q3,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",140.0
2006Q3,Tipperary Garda Division,Burglary and related offences,176.0
2006Q3,Tipperary Garda Division,Controlled drug offences,124.0
2006Q3,Tipperary Garda Division,Damage to property and to the environment  offences,277.0
2006Q3,Tipperary Garda Division,Dangerous or negligent acts,531.0
2006Q3,Tipperary Garda Division,"Fraud, deception and related offences",24.0
2006Q3,Tipperary Garda Division,Homicide & related offences,2.0
2006Q3,Tipperary Garda Division,Kidnapping and related offences,0.0
2006Q3,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",34.0
2006Q3,Tipperary Garda Division,Offences not elsewhere classified,16.0
2006Q3,Tipperary Garda Division,Public order and other social code offences,560.0
2006Q3,Tipperary Garda Division,Road and traffic offences,969.0
2006Q3,Tipperary Garda Division,"Robbery, extortion and hijacking offences",6.0
2006Q3,Tipperary Garda Division,Sexual offences,15.0
2006Q3,Tipperary Garda Division,Theft and related offences,377.0
2006Q3,Tipperary Garda Division,Weapons and explosives offences,30.0
2006Q4,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",119.0
2006Q4,Tipperary Garda Division,Burglary and related offences,177.0
2006Q4,Tipperary Garda Division,Controlled drug offences,173.0
2006Q4,Tipperary Garda Division,Damage to property and to the environment  offences,249.0
2006Q4,Tipperary Garda Division,Dangerous or negligent acts,534.0
2006Q4,Tipperary Garda Division,"Fraud, deception and related offences",18.0
2006Q4,Tipperary Garda Division,Homicide & related offences,1.0
2006Q4,Tipperary Garda Division,Kidnapping and related offences,0.0
2006Q4,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",35.0
2006Q4,Tipperary Garda Division,Offences not elsewhere classified,12.0
2006Q4,Tipperary Garda Division,Public order and other social code offences,787.0
2006Q4,Tipperary Garda Division,Road and traffic offences,1159.0
2006Q4,Tipperary Garda Division,"Robbery, extortion and hijacking offences",4.0
2006Q4,Tipperary Garda Division,Sexual offences,6.0
2006Q4,Tipperary Garda Division,Theft and related offences,308.0
2006Q4,Tipperary Garda Division,Weapons and explosives offences,51.0
2007Q1,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",136.0
2007Q1,Tipperary Garda Division,Burglary and related offences,145.0
2007Q1,Tipperary Garda Division,Controlled drug offences,138.0
2007Q1,Tipperary Garda Division,Damage to property and to the environment  offences,271.0
2007Q1,Tipperary Garda Division,Dangerous or negligent acts,459.0
2007Q1,Tipperary Garda Division,"Fraud, deception and related offences",39.0
2007Q1,Tipperary Garda Division,Homicide & related offences,3.0
2007Q1,Tipperary Garda Division,Kidnapping and related offences,0.0
2007Q1,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",58.0
2007Q1,Tipperary Garda Division,Offences not elsewhere classified,15.0
2007Q1,Tipperary Garda Division,Public order and other social code offences,593.0
2007Q1,Tipperary Garda Division,Road and traffic offences,1069.0
2007Q1,Tipperary Garda Division,"Robbery, extortion and hijacking offences",6.0
2007Q1,Tipperary Garda Division,Sexual offences,11.0
2007Q1,Tipperary Garda Division,Theft and related offences,351.0
2007Q1,Tipperary Garda Division,Weapons and explosives offences,51.0
2007Q2,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",120.0
2007Q2,Tipperary Garda Division,Burglary and related offences,131.0
2007Q2,Tipperary Garda Division,Controlled drug offences,145.0
2007Q2,Tipperary Garda Division,Damage to property and to the environment  offences,264.0
2007Q2,Tipperary Garda Division,Dangerous or negligent acts,597.0
2007Q2,Tipperary Garda Division,"Fraud, deception and related offences",27.0
2007Q2,Tipperary Garda Division,Homicide & related offences,2.0
2007Q2,Tipperary Garda Division,Kidnapping and related offences,0.0
2007Q2,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",41.0
2007Q2,Tipperary Garda Division,Offences not elsewhere classified,25.0
2007Q2,Tipperary Garda Division,Public order and other social code offences,600.0
2007Q2,Tipperary Garda Division,Road and traffic offences,1112.0
2007Q2,Tipperary Garda Division,"Robbery, extortion and hijacking offences",1.0
2007Q2,Tipperary Garda Division,Sexual offences,12.0
2007Q2,Tipperary Garda Division,Theft and related offences,358.0
2007Q2,Tipperary Garda Division,Weapons and explosives offences,38.0
2007Q3,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",131.0
2007Q3,Tipperary Garda Division,Burglary and related offences,130.0
2007Q3,Tipperary Garda Division,Controlled drug offences,144.0
2007Q3,Tipperary Garda Division,Damage to property and to the environment  offences,304.0
2007Q3,Tipperary Garda Division,Dangerous or negligent acts,607.0
2007Q3,Tipperary Garda Division,"Fraud, deception and related offences",23.0
2007Q3,Tipperary Garda Division,Homicide & related offences,2.0
2007Q3,Tipperary Garda Division,Kidnapping and related offences,1.0
2007Q3,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",36.0
2007Q3,Tipperary Garda Division,Offences not elsewhere classified,21.0
2007Q3,Tipperary Garda Division,Public order and other social code offences,757.0
2007Q3,Tipperary Garda Division,Road and traffic offences,1152.0
2007Q3,Tipperary Garda Division,"Robbery, extortion and hijacking offences",3.0
2007Q3,Tipperary Garda Division,Sexual offences,9.0
2007Q3,Tipperary Garda Division,Theft and related offences,378.0
2007Q3,Tipperary Garda Division,Weapons and explosives offences,39.0
2007Q4,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",153.0
2007Q4,Tipperary Garda Division,Burglary and related offences,187.0
2007Q4,Tipperary Garda Division,Controlled drug offences,212.0
2007Q4,Tipperary Garda Division,Damage to property and to the environment  offences,229.0
2007Q4,Tipperary Garda Division,Dangerous or negligent acts,486.0
2007Q4,Tipperary Garda Division,"Fraud, deception and related offences",39.0
2007Q4,Tipperary Garda Division,Homicide & related offences,3.0
2007Q4,Tipperary Garda Division,Kidnapping and related offences,3.0
2007Q4,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",42.0
2007Q4,Tipperary Garda Division,Offences not elsewhere classified,13.0
2007Q4,Tipperary Garda Division,Public order and other social code offences,565.0
2007Q4,Tipperary Garda Division,Road and traffic offences,992.0
2007Q4,Tipperary Garda Division,"Robbery, extortion and hijacking offences",7.0
2007Q4,Tipperary Garda Division,Sexual offences,7.0
2007Q4,Tipperary Garda Division,Theft and related offences,323.0
2007Q4,Tipperary Garda Division,Weapons and explosives offences,68.0
2008Q1,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",142.0
2008Q1,Tipperary Garda Division,Burglary and related offences,185.0
2008Q1,Tipperary Garda Division,Controlled drug offences,208.0
2008Q1,Tipperary Garda Division,Damage to property and to the environment  offences,285.0
2008Q1,Tipperary Garda Division,Dangerous or negligent acts,674.0
2008Q1,Tipperary Garda Division,"Fraud, deception and related offences",37.0
2008Q1,Tipperary Garda Division,Homicide & related offences,1.0
2008Q1,Tipperary Garda Division,Kidnapping and related offences,1.0
2008Q1,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",50.0
2008Q1,Tipperary Garda Division,Offences not elsewhere classified,15.0
2008Q1,Tipperary Garda Division,Public order and other social code offences,449.0
2008Q1,Tipperary Garda Division,Road and traffic offences,1253.0
2008Q1,Tipperary Garda Division,"Robbery, extortion and hijacking offences",6.0
2008Q1,Tipperary Garda Division,Sexual offences,10.0
2008Q1,Tipperary Garda Division,Theft and related offences,375.0
2008Q1,Tipperary Garda Division,Weapons and explosives offences,38.0
2008Q2,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",171.0
2008Q2,Tipperary Garda Division,Burglary and related offences,131.0
2008Q2,Tipperary Garda Division,Controlled drug offences,158.0
2008Q2,Tipperary Garda Division,Damage to property and to the environment  offences,255.0
2008Q2,Tipperary Garda Division,Dangerous or negligent acts,605.0
2008Q2,Tipperary Garda Division,"Fraud, deception and related offences",18.0
2008Q2,Tipperary Garda Division,Homicide & related offences,2.0
2008Q2,Tipperary Garda Division,Kidnapping and related offences,0.0
2008Q2,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",36.0
2008Q2,Tipperary Garda Division,Offences not elsewhere classified,14.0
2008Q2,Tipperary Garda Division,Public order and other social code offences,460.0
2008Q2,Tipperary Garda Division,Road and traffic offences,1187.0
2008Q2,Tipperary Garda Division,"Robbery, extortion and hijacking offences",2.0
2008Q2,Tipperary Garda Division,Sexual offences,10.0
2008Q2,Tipperary Garda Division,Theft and related offences,375.0
2008Q2,Tipperary Garda Division,Weapons and explosives offences,51.0
2008Q3,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",152.0
2008Q3,Tipperary Garda Division,Burglary and related offences,112.0
2008Q3,Tipperary Garda Division,Controlled drug offences,187.0
2008Q3,Tipperary Garda Division,Damage to property and to the environment  offences,207.0
2008Q3,Tipperary Garda Division,Dangerous or negligent acts,592.0
2008Q3,Tipperary Garda Division,"Fraud, deception and related offences",31.0
