Quarter,Garda Division,Type of Offence,VALUE
2006Q1,Wicklow Garda Division,Weapons and explosives offences,16.0
2006Q2,Wicklow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",95.0
2006Q2,Wicklow Garda Division,Burglary and related offences,220.0
2006Q2,Wicklow Garda Division,Controlled drug offences,94.0
2006Q2,Wicklow Garda Division,Damage to property and to the environment  offences,313.0
2006Q2,Wicklow Garda Division,Dangerous or negligent acts,381.0
2006Q2,Wicklow Garda Division,"Fraud, deception and related offences",15.0
2006Q2,Wicklow Garda Division,Homicide & related offences,1.0
2006Q2,Wicklow Garda Division,Kidnapping and related offences,0.0
2006Q2,Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime",36.0
2006Q2,Wicklow Garda Division,Offences not elsewhere classified,5.0
2006Q2,Wicklow Garda Division,Public order and other social code offences,359.0
2006Q2,Wicklow Garda Division,Road and traffic offences,1085.0
2006Q2,Wicklow Garda Division,"Robbery, extortion and hijacking offences",8.0
2006Q2,Wicklow Garda Division,Sexual offences,4.0
2006Q2,Wicklow Garda Division,Theft and related offences,540.0
2006Q2,Wicklow Garda Division,Weapons and explosives offences,21.0
2006Q3,Wicklow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",108.0
2006Q3,Wicklow Garda Division,Burglary and related offences,275.0
2006Q3,Wicklow Garda Division,Controlled drug offences,75.0
2006Q3,Wicklow Garda Division,Damage to property and to the environment  offences,296.0
2006Q3,Wicklow Garda Division,Dangerous or negligent acts,405.0
2006Q3,Wicklow Garda Division,"Fraud, deception and related offences",20.0
2006Q3,Wicklow Garda Division,Homicide & related offences,1.0
2006Q3,Wicklow Garda Division,Kidnapping and related offences,1.0
2006Q3,Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime",46.0
2006Q3,Wicklow Garda Division,Offences not elsewhere classified,8.0
2006Q3,Wicklow Garda Division,Public order and other social code offences,368.0
2006Q3,Wicklow Garda Division,Road and traffic offences,875.0
2006Q3,Wicklow Garda Division,"Robbery, extortion and hijacking offences",10.0
2006Q3,Wicklow Garda Division,Sexual offences,5.0
2006Q3,Wicklow Garda Division,Theft and related offences,566.0
2006Q3,Wicklow Garda Division,Weapons and explosives offences,29.0
2006Q4,Wicklow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",100.0
2006Q4,Wicklow Garda Division,Burglary and related offences,309.0
2006Q4,Wicklow Garda Division,Controlled drug offences,73.0
2006Q4,Wicklow Garda Division,Damage to property and to the environment  offences,284.0
2006Q4,Wicklow Garda Division,Dangerous or negligent acts,325.0
2006Q4,Wicklow Garda Division,"Fraud, deception and related offences",22.0
2006Q4,Wicklow Garda Division,Homicide & related offences,0.0
