Year,Garda Division,Type of Offence,VALUE
2011,Donegal Garda Division,Road and traffic offences,2275.0
2011,Donegal Garda Division,"Robbery, extortion and hijacking offences",25.0
2011,Donegal Garda Division,Sexual offences,74.0
2011,Donegal Garda Division,Theft and related offences,1224.0
2011,Donegal Garda Division,Weapons and explosives offences,55.0
2012,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",738.0
2012,Donegal Garda Division,Burglary and related offences,443.0
2012,Donegal Garda Division,Controlled drug offences,248.0
2012,Donegal Garda Division,Damage to property and to the environment  offences,746.0
2012,Donegal Garda Division,Dangerous or negligent acts,1497.0
2012,Donegal Garda Division,"Fraud, deception and related offences",121.0
2012,Donegal Garda Division,Homicide & related offences,5.0
2012,Donegal Garda Division,Kidnapping and related offences,2.0
2012,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",115.0
2012,Donegal Garda Division,Offences not elsewhere classified,111.0
2012,Donegal Garda Division,Public order and other social code offences,1528.0
2012,Donegal Garda Division,Road and traffic offences,1560.0
2012,Donegal Garda Division,"Robbery, extortion and hijacking offences",27.0
2012,Donegal Garda Division,Sexual offences,79.0
2012,Donegal Garda Division,Theft and related offences,985.0
2012,Donegal Garda Division,Weapons and explosives offences,38.0
2013,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",692.0
2013,Donegal Garda Division,Burglary and related offences,396.0
2013,Donegal Garda Division,Controlled drug offences,210.0
2013,Donegal Garda Division,Damage to property and to the environment  offences,638.0
2013,Donegal Garda Division,Dangerous or negligent acts,1123.0
2013,Donegal Garda Division,"Fraud, deception and related offences",128.0
2013,Donegal Garda Division,Homicide & related offences,6.0
2013,Donegal Garda Division,Kidnapping and related offences,8.0
2013,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",125.0
2013,Donegal Garda Division,Offences not elsewhere classified,105.0
2013,Donegal Garda Division,Public order and other social code offences,1217.0
2013,Donegal Garda Division,Road and traffic offences,1703.0
2013,Donegal Garda Division,"Robbery, extortion and hijacking offences",23.0
2013,Donegal Garda Division,Sexual offences,76.0
2013,Donegal Garda Division,Theft and related offences,1054.0
2013,Donegal Garda Division,Weapons and explosives offences,42.0
2014,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",745.0
2014,Donegal Garda Division,Burglary and related offences,407.0
2014,Donegal Garda Division,Controlled drug offences,211.0
2014,Donegal Garda Division,Damage to property and to the environment  offences,673.0
2014,Donegal Garda Division,Dangerous or negligent acts,1743.0
2014,Donegal Garda Division,"Fraud, deception and related offences",95.0
2014,Donegal Garda Division,Homicide & related offences,6.0
2014,Donegal Garda Division,Kidnapping and related offences,2.0
2014,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",118.0
2014,Donegal Garda Division,Offences not elsewhere classified,101.0
2014,Donegal Garda Division,Public order and other social code offences,1175.0
2014,Donegal Garda Division,Road and traffic offences,1987.0
2014,Donegal Garda Division,"Robbery, extortion and hijacking offences",18.0
2014,Donegal Garda Division,Sexual offences,80.0
2014,Donegal Garda Division,Theft and related offences,1009.0
2014,Donegal Garda Division,Weapons and explosives offences,42.0
2015,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",727.0
2015,Donegal Garda Division,Burglary and related offences,324.0
2015,Donegal Garda Division,Controlled drug offences,215.0
2015,Donegal Garda Division,Damage to property and to the environment  offences,671.0
2015,Donegal Garda Division,Dangerous or negligent acts,1708.0
2015,Donegal Garda Division,"Fraud, deception and related offences",116.0
2015,Donegal Garda Division,Homicide & related offences,4.0
2015,Donegal Garda Division,Kidnapping and related offences,3.0
2015,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",166.0
2015,Donegal Garda Division,Offences not elsewhere classified,121.0
2015,Donegal Garda Division,Public order and other social code offences,1123.0
2015,Donegal Garda Division,Road and traffic offences,2078.0
2015,Donegal Garda Division,"Robbery, extortion and hijacking offences",27.0
2015,Donegal Garda Division,Sexual offences,91.0
2015,Donegal Garda Division,Theft and related offences,938.0
2015,Donegal Garda Division,Weapons and explosives offences,44.0
2016,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",701.0
2016,Donegal Garda Division,Burglary and related offences,217.0
2016,Donegal Garda Division,Controlled drug offences,248.0
2016,Donegal Garda Division,Damage to property and to the environment  offences,625.0
2016,Donegal Garda Division,Dangerous or negligent acts,1732.0
2016,Donegal Garda Division,"Fraud, deception and related offences",116.0
2016,Donegal Garda Division,Homicide & related offences,3.0
2016,Donegal Garda Division,Kidnapping and related offences,5.0
2016,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",126.0
2016,Donegal Garda Division,Offences not elsewhere classified,79.0
2016,Donegal Garda Division,Public order and other social code offences,1252.0
2016,Donegal Garda Division,Road and traffic offences,1976.0
2016,Donegal Garda Division,"Robbery, extortion and hijacking offences",23.0
2016,Donegal Garda Division,Sexual offences,108.0
2016,Donegal Garda Division,Theft and related offences,762.0
2016,Donegal Garda Division,Weapons and explosives offences,52.0
2017,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",783.0
2017,Donegal Garda Division,Burglary and related offences,292.0
2017,Donegal Garda Division,Controlled drug offences,289.0
2017,Donegal Garda Division,Damage to property and to the environment  offences,540.0
2017,Donegal Garda Division,Dangerous or negligent acts,1467.0
2017,Donegal Garda Division,"Fraud, deception and related offences",143.0
2017,Donegal Garda Division,Homicide & related offences,4.0
2017,Donegal Garda Division,Kidnapping and related offences,2.0
2017,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",151.0
2017,Donegal Garda Division,Offences not elsewhere classified,80.0
2017,Donegal Garda Division,Public order and other social code offences,1199.0
2017,Donegal Garda Division,Road and traffic offences,2008.0
2017,Donegal Garda Division,"Robbery, extortion and hijacking offences",9.0
2017,Donegal Garda Division,Sexual offences,103.0
2017,Donegal Garda Division,Theft and related offences,687.0
2017,Donegal Garda Division,Weapons and explosives offences,37.0
2018,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",713.0
2018,Donegal Garda Division,Burglary and related offences,225.0
2018,Donegal Garda Division,Controlled drug offences,286.0
2018,Donegal Garda Division,Damage to property and to the environment  offences,536.0
2018,Donegal Garda Division,Dangerous or negligent acts,1584.0
2018,Donegal Garda Division,"Fraud, deception and related offences",131.0
2018,Donegal Garda Division,Homicide & related offences,7.0
2018,Donegal Garda Division,Kidnapping and related offences,6.0
2018,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",182.0
2018,Donegal Garda Division,Offences not elsewhere classified,82.0
2018,Donegal Garda Division,Public order and other social code offences,1194.0
2018,Donegal Garda Division,Road and traffic offences,2276.0
2018,Donegal Garda Division,"Robbery, extortion and hijacking offences",14.0
2018,Donegal Garda Division,Sexual offences,134.0
2018,Donegal Garda Division,Theft and related offences,690.0
2018,Donegal Garda Division,Weapons and explosives offences,44.0
2019,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",867.0
2019,Donegal Garda Division,Burglary and related offences,259.0
2019,Donegal Garda Division,Controlled drug offences,459.0
2019,Donegal Garda Division,Damage to property and to the environment  offences,608.0
2019,Donegal Garda Division,Dangerous or negligent acts,1518.0
2019,Donegal Garda Division,"Fraud, deception and related offences",201.0
2019,Donegal Garda Division,Homicide & related offences,1.0
2019,Donegal Garda Division,Kidnapping and related offences,3.0
2019,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",205.0
2019,Donegal Garda Division,Offences not elsewhere classified,75.0
2019,Donegal Garda Division,Public order and other social code offences,1390.0
2019,Donegal Garda Division,Road and traffic offences,2150.0
2019,Donegal Garda Division,"Robbery, extortion and hijacking offences",18.0
2019,Donegal Garda Division,Sexual offences,132.0
2019,Donegal Garda Division,Theft and related offences,706.0
2019,Donegal Garda Division,Weapons and explosives offences,39.0
2020,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",662.0
2020,Donegal Garda Division,Burglary and related offences,139.0
2020,Donegal Garda Division,Controlled drug offences,536.0
2020,Donegal Garda Division,Damage to property and to the environment  offences,560.0
2020,Donegal Garda Division,Dangerous or negligent acts,1492.0
2020,Donegal Garda Division,"Fraud, deception and related offences",203.0
2020,Donegal Garda Division,Homicide & related offences,0.0
2020,Donegal Garda Division,Kidnapping and related offences,8.0
2020,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",130.0
2020,Donegal Garda Division,Offences not elsewhere classified,77.0
2020,Donegal Garda Division,Public order and other social code offences,883.0
2020,Donegal Garda Division,Road and traffic offences,2013.0
2020,Donegal Garda Division,"Robbery, extortion and hijacking offences",12.0
2020,Donegal Garda Division,Sexual offences,113.0
2020,Donegal Garda Division,Theft and related offences,530.0
2020,Donegal Garda Division,Weapons and explosives offences,72.0
2021,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",733.0
2021,Donegal Garda Division,Burglary and related offences,123.0
2021,Donegal Garda Division,Controlled drug offences,431.0
2021,Donegal Garda Division,Damage to property and to the environment  offences,569.0
2021,Donegal Garda Division,Dangerous or negligent acts,1502.0
2021,Donegal Garda Division,"Fraud, deception and related offences",438.0
2021,Donegal Garda Division,Homicide & related offences,2.0
2021,Donegal Garda Division,Kidnapping and related offences,0.0
2021,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",150.0
2021,Donegal Garda Division,Offences not elsewhere classified,61.0
2021,Donegal Garda Division,Public order and other social code offences,1283.0
2021,Donegal Garda Division,Road and traffic offences,1584.0
2021,Donegal Garda Division,"Robbery, extortion and hijacking offences",21.0
2021,Donegal Garda Division,Sexual offences,131.0
2021,Donegal Garda Division,Theft and related offences,423.0
2021,Donegal Garda Division,Weapons and explosives offences,55.0
2022,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",907.0
2022,Donegal Garda Division,Burglary and related offences,127.0
2022,Donegal Garda Division,Controlled drug offences,346.0
2022,Donegal Garda Division,Damage to property and to the environment  offences,599.0
2022,Donegal Garda Division,Dangerous or negligent acts,1331.0
2022,Donegal Garda Division,"Fraud, deception and related offences",257.0
2022,Donegal Garda Division,Homicide & related offences,5.0
2022,Donegal Garda Division,Kidnapping and related offences,12.0
2022,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",137.0
2022,Donegal Garda Division,Offences not elsewhere classified,44.0
2022,Donegal Garda Division,Public order and other social code offences,1072.0
2022,Donegal Garda Division,Road and traffic offences,1027.0
2022,Donegal Garda Division,"Robbery, extortion and hijacking offences",20.0
2022,Donegal Garda Division,Sexual offences,166.0
2022,Donegal Garda Division,Theft and related offences,630.0
2022,Donegal Garda Division,Weapons and explosives offences,41.0
2023,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",832.0
2023,Donegal Garda Division,Burglary and related offences,158.0
2023,Donegal Garda Division,Controlled drug offences,331.0
2023,Donegal Garda Division,Damage to property and to the environment  offences,618.0
2023,Donegal Garda Division,Dangerous or negligent acts,1149.0
2023,Donegal Garda Division,"Fraud, deception and related offences",119.0
2023,Donegal Garda Division,Homicide & related offences,5.0
2023,Donegal Garda Division,Kidnapping and related offences,9.0
2023,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",179.0
2023,Donegal Garda Division,Offences not elsewhere classified,66.0
2023,Donegal Garda Division,Public order and other social code offences,1029.0
2023,Donegal Garda Division,Road and traffic offences,1071.0
2023,Donegal Garda Division,"Robbery, extortion and hijacking offences",47.0
2023,Donegal Garda Division,Sexual offences,160.0
2023,Donegal Garda Division,Theft and related offences,861.0
2023,Donegal Garda Division,Weapons and explosives offences,65.0
2024,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",909.0
2024,Donegal Garda Division,Burglary and related offences,141.0
2024,Donegal Garda Division,Controlled drug offences,325.0
2024,Donegal Garda Division,Damage to property and to the environment  offences,593.0
2024,Donegal Garda Division,Dangerous or negligent acts,1252.0
2024,Donegal Garda Division,"Fraud, deception and related offences",0.0
2024,Donegal Garda Division,Homicide & related offences,6.0
2024,Donegal Garda Division,Kidnapping and related offences,6.0
2024,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",200.0
2024,Donegal Garda Division,Offences not elsewhere classified,90.0
2024,Donegal Garda Division,Public order and other social code offences,1002.0
2024,Donegal Garda Division,Road and traffic offences,1111.0
2024,Donegal Garda Division,"Robbery, extortion and hijacking offences",44.0
2024,Donegal Garda Division,Sexual offences,170.0
2024,Donegal Garda Division,Theft and related offences,791.0
2024,Donegal Garda Division,Weapons and explosives offences,55.0
2025,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",736.0
2025,Donegal Garda Division,Burglary and related offences,85.0
2025,Donegal Garda Division,Controlled drug offences,248.0
2025,Donegal Garda Division,Damage to property and to the environment  offences,400.0
2025,Donegal Garda Division,Dangerous or negligent acts,1143.0
2025,Donegal Garda Division,"Fraud, deception and related offences",0.0
2025,Donegal Garda Division,Homicide & related offences,2.0
2025,Donegal Garda Division,Kidnapping and related offences,5.0
2025,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",152.0
2025,Donegal Garda Division,Offences not elsewhere classified,67.0
2025,Donegal Garda Division,Public order and other social code offences,747.0
2025,Donegal Garda Division,Road and traffic offences,753.0
2025,Donegal Garda Division,"Robbery, extortion and hijacking offences",25.0
2025,Donegal Garda Division,Sexual offences,117.0
2025,Donegal Garda Division,Theft and related offences,582.0
2025,Donegal Garda Division,Weapons and explosives offences,39.0
