Quarter,Garda Division,Type of Offence,VALUE
2005Q4,D.M.R. Northern Garda Division,Public order and other social code offences,614.0
2005Q4,D.M.R. Northern Garda Division,Road and traffic offences,1151.0
2005Q4,D.M.R. Northern Garda Division,"Robbery, extortion and hijacking offences",52.0
2005Q4,D.M.R. Northern Garda Division,Sexual offences,24.0
2005Q4,D.M.R. Northern Garda Division,Theft and related offences,1284.0
2005Q4,D.M.R. Northern Garda Division,Weapons and explosives offences,62.0
2006Q1,D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",164.0
2006Q1,D.M.R. Northern Garda Division,Burglary and related offences,469.0
2006Q1,D.M.R. Northern Garda Division,Controlled drug offences,297.0
2006Q1,D.M.R. Northern Garda Division,Damage to property and to the environment  offences,952.0
2006Q1,D.M.R. Northern Garda Division,Dangerous or negligent acts,854.0
2006Q1,D.M.R. Northern Garda Division,"Fraud, deception and related offences",98.0
2006Q1,D.M.R. Northern Garda Division,Homicide & related offences,3.0
2006Q1,D.M.R. Northern Garda Division,Kidnapping and related offences,0.0
2006Q1,D.M.R. Northern Garda Division,"Offences against government, justice procedures and organisation of crime",124.0
2006Q1,D.M.R. Northern Garda Division,Offences not elsewhere classified,153.0
2006Q1,D.M.R. Northern Garda Division,Public order and other social code offences,641.0
2006Q1,D.M.R. Northern Garda Division,Road and traffic offences,1471.0
2006Q1,D.M.R. Northern Garda Division,"Robbery, extortion and hijacking offences",69.0
2006Q1,D.M.R. Northern Garda Division,Sexual offences,24.0
2006Q1,D.M.R. Northern Garda Division,Theft and related offences,1299.0
2006Q1,D.M.R. Northern Garda Division,Weapons and explosives offences,46.0
2006Q2,D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",202.0
2006Q2,D.M.R. Northern Garda Division,Burglary and related offences,365.0
2006Q2,D.M.R. Northern Garda Division,Controlled drug offences,313.0
2006Q2,D.M.R. Northern Garda Division,Damage to property and to the environment  offences,984.0
2006Q2,D.M.R. Northern Garda Division,Dangerous or negligent acts,1003.0
2006Q2,D.M.R. Northern Garda Division,"Fraud, deception and related offences",98.0
2006Q2,D.M.R. Northern Garda Division,Homicide & related offences,5.0
2006Q2,D.M.R. Northern Garda Division,Kidnapping and related offences,0.0
2006Q2,D.M.R. Northern Garda Division,"Offences against government, justice procedures and organisation of crime",135.0
2006Q2,D.M.R. Northern Garda Division,Offences not elsewhere classified,147.0
2006Q2,D.M.R. Northern Garda Division,Public order and other social code offences,800.0
2006Q2,D.M.R. Northern Garda Division,Road and traffic offences,2377.0
2006Q2,D.M.R. Northern Garda Division,"Robbery, extortion and hijacking offences",82.0
2006Q2,D.M.R. Northern Garda Division,Sexual offences,15.0
2006Q2,D.M.R. Northern Garda Division,Theft and related offences,1248.0
2006Q2,D.M.R. Northern Garda Division,Weapons and explosives offences,51.0
2006Q3,D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",230.0
2006Q3,D.M.R. Northern Garda Division,Burglary and related offences,430.0
2006Q3,D.M.R. Northern Garda Division,Controlled drug offences,253.0
2006Q3,D.M.R. Northern Garda Division,Damage to property and to the environment  offences,992.0
2006Q3,D.M.R. Northern Garda Division,Dangerous or negligent acts,1170.0
2006Q3,D.M.R. Northern Garda Division,"Fraud, deception and related offences",144.0
2006Q3,D.M.R. Northern Garda Division,Homicide & related offences,3.0
2006Q3,D.M.R. Northern Garda Division,Kidnapping and related offences,1.0
2006Q3,D.M.R. Northern Garda Division,"Offences against government, justice procedures and organisation of crime",166.0
2006Q3,D.M.R. Northern Garda Division,Offences not elsewhere classified,145.0
2006Q3,D.M.R. Northern Garda Division,Public order and other social code offences,769.0
2006Q3,D.M.R. Northern Garda Division,Road and traffic offences,2257.0
2006Q3,D.M.R. Northern Garda Division,"Robbery, extortion and hijacking offences",69.0
2006Q3,D.M.R. Northern Garda Division,Sexual offences,14.0
